Sweep	Chain_1	Chain_2	Chain_3	
367	-112.0663882701	-118.4923491741	-200.3360505037	
368	-108.578490826	-113.8152980959	-209.5731425627	
369	-108.578490826	-113.8152980959	-209.5731425627	
370	-106.6430456951	-120.2883344308	-204.4756918515	
371	-106.6430456951	-120.2883344308	-204.4756918515	
372	-106.6250081713	-119.7983899238	-206.6458554071	
373	-101.0855198179	-106.3764333446	-218.4915119947	
374	-106.3764333446	-101.0855198179	-218.4915119947	
375	-106.5870236269	-101.1226528871	-217.760623515	
376	-101.1226528871	-110.5339563405	-217.5187787521	
377	-108.2555745833	-107.4923975939	-196.6839634791	
378	-107.2369550962	-106.4562160749	-198.7653460156	
379	-106.4562160749	-107.2369550962	-198.7653460156	
380	-106.5791498374	-107.1973044207	-198.4253802298	
381	-104.3808682232	-115.1573668223	-202.4716835526	
382	-115.1573668223	-104.3808682232	-202.4716835526	
383	-112.883162636	-109.3689859383	-194.7587209155	
384	-107.1376198568	-114.4492967367	-189.7974831613	
385	-114.1056114295	-100.1575824827	-183.9086645156	
386	-108.0277690813	-112.504334028	-182.6294359165	
387	-108.0277690813	-112.504334028	-182.6294359165	
388	-108.0277690813	-112.504334028	-182.6294359165	
389	-108.0277690813	-112.504334028	-182.6294359165	
390	-112.504334028	-108.0277690813	-182.6294359165	
391	-103.316491219	-101.0852212168	-205.8553843072	
392	-101.4759265433	-103.7610871042	-204.6808164458	
393	-103.7610871042	-101.4759265433	-204.6808164458	
394	-102.757343396	-105.2428823772	-203.3878248448	
395	-106.9215555187	-132.5672692166	-188.8450385139	
396	-111.4161712407	-138.920389895	-187.7627792158	
397	-127.8449689175	-108.4957978657	-213.8914725376	
398	-113.1622712491	-111.3959471297	-198.5217768635	
399	-105.6773005186	-142.3357869239	-187.1996637485	
400	-105.6693354325	-142.3463117986	-187.2122470698	
401	-118.5846810438	-138.3413680708	-189.8574690428	
402	-138.3413680708	-118.5846810438	-189.8574690428	
403	-119.1044668833	-138.0216176832	-189.3810287721	
404	-119.1044668833	-138.0216176832	-189.3810287721	
405	-119.4341506895	-138.0000238865	-189.301558861	
406	-107.3473773356	-125.0484177543	-197.7078371226	
407	-107.3473773356	-125.0484177543	-197.7078371226	
408	-105.2589186427	-110.4412932495	-203.0674254544	
409	-110.4412932495	-105.2589186427	-203.0674254544	
410	-105.2589186427	-110.4412932495	-203.0674254544	
411	-104.3452870624	-105.7573201118	-202.1602479307	
412	-104.3452870624	-105.7573201118	-202.1602479307	
413	-106.9239351476	-104.7313746227	-200.5515298735	
414	-104.7313746227	-106.9239351476	-200.5515298735	
415	-96.3845594773	-122.5121108165	-200.9590931515	
416	-96.58062717918	-122.6904665299	-200.9021257341	
417	-96.58062717918	-122.6904665299	-200.9021257341	
418	-93.57686115126	-105.2590202894	-195.7529884507	
419	-93.62508297334	-109.0297406994	-187.1479556982	
420	-93.62508297334	-117.3657938263	-207.3754503853	
421	-100.3964019475	-117.5623367612	-209.2691802176	
422	-96.5547993625	-121.8388043628	-202.0839446188	
423	-98.75758232817	-123.6134225191	-164.88577999	
424	-113.553598479	-93.03425529786	-189.1589147168	
425	-93.03425529786	-118.4167537024	-195.5598121565	
426	-93.03425529786	-118.4167537024	-195.5598121565	
427	-93.03425529786	-118.4167537024	-195.5598121565	
428	-91.98982038717	-117.0464129922	-198.1694831913	
429	-117.0464129922	-91.98982038717	-198.1694831913	
430	-108.8896281142	-98.55754599706	-188.4607277314	
431	-92.01104262976	-118.7794422426	-197.5105381475	
432	-92.01104262976	-118.7794422426	-197.5105381475	
433	-92.01104262976	-115.3498922693	-205.3568689346	
434	-92.01104262976	-115.3498922693	-205.3568689346	
435	-97.18138201137	-111.3822313118	-189.7407175492	
436	-91.85839434892	-107.1488240898	-208.5019231925	
437	-91.85839434892	-107.1488240898	-208.5019231925	
438	-107.1512291861	-91.85733930045	-208.5755147112	
439	-102.5669344785	-113.6230230163	-208.3836162113	
440	-112.5166862425	-101.9016479334	-209.272441265	
441	-101.6972836917	-111.960838195	-210.6930583085	
442	-113.7774215482	-105.9647737694	-217.716436116	
443	-100.2662494678	-100.0923977281	-217.716436116	
444	-100.2662494678	-100.0923977281	-217.716436116	
445	-100.0923977281	-100.2662494678	-217.716436116	
446	-115.5117915339	-119.9459333569	-217.716436116	
447	-100.4177650444	-103.2683296255	-217.716436116	
448	-101.2412543553	-104.771745998	-215.2497836443	
449	-104.771745998	-101.2412543553	-215.2497836443	
450	-105.9249572335	-104.7566115649	-218.0157490645	
451	-122.9932775828	-109.6901940969	-218.0157490645	
452	-122.9932775828	-109.6901940969	-218.0157490645	
453	-112.5960479569	-106.8128429986	-216.1063572526	
454	-110.7634621903	-111.2871777471	-217.8643166726	
455	-102.0541690714	-122.9386280558	-217.6193641604	
456	-123.1075364338	-102.2112070375	-216.7396153576	
457	-102.0334764545	-122.9190753508	-217.8877947756	
458	-124.0332665913	-96.88846964389	-217.8877947756	
459	-96.88846964389	-124.0332665913	-217.8877947756	
460	-97.32933856708	-124.5015496654	-216.1645200916	
461	-107.9958864797	-113.0490418777	-216.1645200916	
462	-103.0776254508	-114.3291266063	-216.1645200916	
463	-102.1020316685	-112.9230550757	-216.1645200916	
464	-102.1020316685	-112.9230550757	-216.1645200916	
465	-100.2343377178	-107.406688588	-216.1645200916	
466	-100.2343377178	-107.406688588	-216.1645200916	
467	-106.3830506891	-99.71152385327	-218.9653573165	
468	-105.6580590967	-113.1002871239	-215.1668105088	
469	-108.9099556898	-119.8783413397	-215.1668105088	
470	-108.9099556898	-119.8783413397	-215.1668105088	
471	-108.9099556898	-119.8783413397	-215.1668105088	
472	-106.4375179531	-144.7713265604	-215.1668105088	
473	-95.55397937461	-136.2784834681	-210.9401932271	
474	-136.2784834681	-95.55397937461	-210.9401932271	
475	-101.5036310122	-117.3297947524	-215.1668105088	
476	-125.704223504	-101.5405036287	-214.7612005025	
477	-101.5405036287	-125.704223504	-214.7612005025	
478	-101.3587657947	-125.39800114	-214.8528008093	
479	-94.55443135864	-124.1256466085	-217.0982577943	
480	-113.2435415779	-117.5389833225	-217.2057410722	
481	-117.3694282892	-113.3301011225	-217.652478324	
482	-106.892552039	-133.4177679958	-217.652478324	
483	-106.892552039	-133.4177679958	-217.652478324	
484	-101.5349357085	-132.6831355831	-217.652478324	
485	-101.5349357085	-132.6831355831	-217.652478324	
486	-101.8453427176	-133.903231794	-215.6638423557	
487	-95.10320630406	-125.3719460499	-215.6638423557	
488	-100.5524706556	-135.0167260336	-215.6638423557	
489	-95.39320544245	-123.4919705264	-215.3141495159	
490	-95.39320544245	-117.5507930403	-215.3141495159	
491	-95.39320544245	-117.5507930403	-215.3141495159	
492	-95.39320544245	-117.5507930403	-215.3141495159	
493	-95.66132023823	-118.00291502	-215.0820078946	
494	-94.48926634388	-115.7702472318	-217.5602279512	
495	-94.49055976938	-115.7742259026	-217.547930011	
496	-117.5914645938	-113.0794347451	-215.2906407335	
497	-117.5914645938	-113.0794347451	-215.2906407335	
498	-128.9024848058	-123.1819405845	-215.2906407335	
499	-127.135090429	-123.9921297393	-217.61324034	
500	-108.683904402	-118.8858217976	-212.0270624768	
501	-111.8584049998	-123.6408960175	-205.6146703427	
502	-111.837536891	-123.7064781883	-205.2596678046	
503	-112.9237658477	-123.3301380092	-213.1152082274	
504	-112.9237658477	-123.3301380092	-213.1152082274	
505	-113.1599301235	-123.2789178122	-214.8728239286	
506	-113.1599301235	-123.2789178122	-214.8728239286	
507	-126.3754158245	-114.2781670614	-209.5736609028	
508	-114.2781670614	-126.3754158245	-209.5736609028	
509	-106.3851343415	-132.0182371848	-211.528454727	
510	-106.4740289009	-132.1224099742	-211.228462575	
511	-122.3850270671	-119.2395903057	-215.3865803052	
512	-122.0275130182	-118.2696944955	-216.1602115228	
513	-112.2831031475	-125.4213275152	-218.1357548839	
514	-113.1544099463	-128.3318719416	-219.0036802074	
515	-126.7628365174	-116.2538956919	-211.4734742049	
516	-116.2538956919	-126.7628365174	-211.4734742049	
517	-116.2538956919	-126.7628365174	-211.4734742049	
518	-109.0244598218	-125.0824560852	-205.7708374249	
519	-109.0244598218	-125.0824560852	-205.7708374249	
520	-109.0719299766	-125.1904391476	-205.6380034381	
521	-118.7988465813	-125.8756717594	-215.640215283	
