Sweep	Chain_l	Chain_r
882	2	1
883	2	1
885	1	2
886	2	1
889	1	2
892	2	1
894	1	2
895	1	2
897	1	2
898	1	2
904	1	2
905	1	2
912	1	2
913	1	2
914	1	2
915	1	2
918	1	2
919	2	1
920	1	2
921	2	1
931	2	3
932	2	3
933	3	2
934	3	2
936	3	2
938	3	2
940	3	2
941	3	2
951	2	1
952	1	2
960	2	1
961	1	2
966	1	2
968	2	1
985	1	2
992	1	2
993	1	2
995	1	2
996	1	2
998	2	1
1000	1	2
1001	2	1
1007	1	2
1025	1	2
1030	1	2
1034	2	1
1035	1	2
1048	1	2
1051	1	2
1055	2	1
1059	1	2
1061	2	1
1081	1	2
1083	1	2
1093	2	1
1099	2	1
1100	2	1
1108	2	1
1121	1	2
1172	3	2
1206	3	2
1216	3	2
1218	3	2
1239	2	3
1240	3	2
1241	3	2
1242	3	2
1245	2	3
1246	2	3
1249	2	3
1270	2	3
1273	2	3
1277	3	2
1278	2	3
1283	2	3
1391	3	2
1393	2	3
1412	2	3
1413	3	2
1415	3	2
1480	1	2
1485	1	2
1516	3	2
1538	2	3
1540	3	2
1545	1	2
1546	2	3
1599	1	2
1608	2	1
1621	1	2
1622	2	1
1623	1	2
1630	1	2
1633	1	2
1638	1	2
1640	2	1
1641	2	1
1642	2	1
1647	2	1
1648	2	1
1651	2	1
1656	1	2
1673	2	1
1683	1	2
1685	1	2
1690	1	2
1694	1	2
1698	2	1
1700	1	2
1701	1	2
1702	2	1
1704	2	1
1714	1	2
1720	2	1
1721	1	2
1726	2	1
1730	1	2
1731	2	1
1735	3	2
1744	2	3
1749	1	2
1756	2	3
1761	2	3
1771	1	2
1776	2	1
1780	2	1
1781	1	2
1783	2	1
1784	2	1
1793	1	2
1794	1	2
1795	1	2
1798	2	1
1800	2	1
1802	2	1
1816	1	2
1817	2	1
1828	2	1
1837	1	2
1838	2	1
1840	2	1
1847	2	1
1853	1	2
1856	1	2
1857	2	1
1858	1	2
1859	2	1
1862	1	2
1863	1	2
1866	2	1
1869	2	1
1876	1	2
1886	2	1
1887	2	1
1895	1	2
1905	2	1
1926	1	2
1929	2	1
1932	1	2
1944	1	2
1946	2	1
1947	1	2
1952	1	2
1954	2	1
1955	1	2
1956	2	1
2030	2	1
2034	2	1
2066	2	1
2092	1	2
2098	2	1
2099	1	2
2100	2	1
2101	1	2
2146	1	2
2147	2	1
2233	3	2
2250	1	2
2321	2	1
2322	1	2
2328	2	1
2331	1	2
2332	1	2
2335	1	2
2336	1	2
2345	1	2
2346	2	1
2349	1	2
2367	1	2
2372	1	2
2375	2	1
2380	2	1
2384	1	2
2389	2	1
2422	1	2
2424	1	2
2450	1	2
2457	1	2
2459	2	1
2464	1	2
2466	1	2
2471	1	2
2493	2	1
2504	1	2
2506	1	2
2521	2	1
2545	1	2
2554	2	1
2556	2	1
2557	1	2
2566	2	1
2567	1	2
2578	1	2
2579	1	2
2582	2	1
2584	2	1
2586	1	2
2597	1	2
2611	2	1
2664	1	2
2666	1	2
2680	1	2
2710	2	1
2715	1	2
2720	2	1
2722	2	1
2727	2	1
2732	1	2
2733	2	1
2737	1	2
2739	1	2
2745	1	2
2747	1	2
2748	1	2
2777	1	2
2781	2	1
2784	1	2
2796	1	2
2798	2	1
2799	1	2
2800	1	2
2804	1	2
2822	1	2
2826	1	2
2827	1	2
2828	1	2
2837	2	1
2838	1	2
2840	1	2
2843	2	3
2860	2	3
2880	3	2
2882	2	3
2888	2	1
2891	2	1
2911	1	2
2920	3	2
2946	1	2
2968	2	3
2978	3	2
2980	2	3
2983	2	3
2984	2	3
2985	3	2
2990	3	2
2997	1	2
2999	1	2
3000	2	1
3001	2	1
3002	3	2
3006	3	2
3016	2	3
3018	2	3
3023	2	1
3024	1	2
3028	3	2
3031	2	3
3036	3	2
3055	3	2
3056	3	2
3064	1	2
3067	2	1
3069	2	1
3073	1	2
3077	2	1
3078	2	1
3082	2	3
3084	2	1
3085	2	1
3088	2	1
3095	2	3
3100	3	1
3101	3	2
3104	2	1
3105	1	2
3108	1	2
3111	1	2
3113	2	1
3128	2	1
3129	1	2
3132	2	1
3148	2	1
3151	2	1
3153	1	2
3158	2	1
3164	2	1
3166	1	2
3168	1	2
3169	1	2
3172	1	2
3176	2	1
3184	2	1
3189	1	2
3201	2	1
3204	2	1
3209	1	2
3212	2	1
3213	2	1
3222	2	1
3245	2	1
3250	1	2
3273	1	2
3275	2	1
3280	1	2
3305	1	2
3311	2	1
3349	2	1
3352	1	2
3353	2	1
3372	2	1
3392	1	2
3393	2	1
3413	2	1
3417	3	2
3422	2	3
3424	2	3
3431	3	2
3438	3	2
3441	2	1
3442	2	3
3456	2	1
3457	1	2
3458	1	2
3495	1	2
3496	1	2
3498	1	2
3503	2	1
3512	1	2
3525	2	1
3527	2	1
3555	2	1
3559	1	2
3565	1	2
3568	2	1
3570	1	2
3572	1	2
3573	2	1
3587	1	2
3588	1	2
3594	1	2
3604	1	2
3605	1	2
3626	2	1
3627	2	1
3628	2	1
3651	1	2
3652	1	2
3655	2	1
3658	2	1
3659	2	1
3666	1	2
3673	1	2
3677	2	1
3682	2	3
3683	2	3
3685	1	2
3705	2	3
3713	3	2
3717	3	2
3718	2	3
3733	2	3
3736	2	3
3737	3	2
3755	3	2
3756	3	2
3760	2	3
3764	2	3
3782	2	3
3829	2	1
3833	1	2
3834	2	1
3840	2	1
3848	3	2
3856	2	1
3873	2	1
3885	1	2
3936	1	2
3937	1	2
4003	1	2
4005	1	2
4023	1	2
4027	2	1
4031	1	2
4032	2	1
4034	1	2
4036	1	2
4038	2	1
4040	2	1
4045	1	2
4046	2	1
4059	1	2
4064	1	2
4065	1	2
4069	1	2
4079	1	2
4080	1	2
4091	2	1
4097	1	2
4098	2	1
4099	1	2
4110	2	1
4114	2	1
4117	2	1
4118	1	2
4119	2	1
4120	1	2
4143	1	2
4149	1	2
4150	1	2
4157	2	1
4166	1	2
4167	2	1
4169	2	1
4170	1	2
4171	1	2
4180	1	2
4185	1	2
4190	2	1
4191	1	2
4192	1	2
4195	1	2
4202	2	1
4205	2	1
4206	1	2
4209	1	2
4219	1	2
4237	2	1
4240	2	1
4249	1	2
4253	1	2
4254	2	1
4268	1	2
4278	1	2
4282	2	1
4285	2	1
4302	1	2
4305	1	2
4310	2	1
4322	1	2
4327	1	2
4353	1	2
4363	2	1
4376	2	1
4394	1	2
4395	2	1
4412	2	1
4430	1	2
4431	1	2
4450	1	2
4452	2	1
4453	1	2
4463	1	2
4492	2	1
4498	1	2
4500	2	1
4510	2	1
4511	2	1
4514	1	2
4515	2	1
4549	2	1
4552	2	1
4553	1	2
4558	1	2
4559	1	2
4560	1	2
4565	1	2
4567	1	2
4579	3	2
4582	2	3
4586	1	2
4598	1	2
4603	3	2
4608	3	2
4620	1	2
4623	1	2
4626	2	1
4627	1	2
4630	1	2
4632	2	1
4636	2	1
4643	2	1
4644	1	2
4648	1	2
4662	3	2
4663	2	3
4672	1	2
4681	1	2
4685	1	2
4689	1	2
4690	2	1
4695	1	2
4713	1	2
4716	1	2
4722	1	2
4724	2	1
4734	2	1
4739	1	2
4742	2	1
4745	2	1
4748	1	2
4752	1	2
4755	1	2
4758	1	2
4767	2	1
4768	1	2
4775	1	2
4778	2	1
4784	1	2
4786	1	2
4788	2	1
4792	1	2
4793	2	1
4794	1	2
4797	1	2
4812	1	2
4822	1	2
4823	1	2
4825	1	2
4828	2	1
4831	1	2
4843	1	2
4854	1	2
4856	2	1
4859	2	1
4864	2	1
4866	1	2
4868	1	2
4871	1	2
4877	1	2
4878	1	2
4889	2	1
4891	1	2
4903	1	2
4913	1	2
4917	1	2
4925	1	2
4927	2	1
4938	2	1
4939	1	2
4942	2	1
4950	2	1
4951	2	1
4977	2	1
5008	2	1
5009	1	2
5018	1	2
5019	2	1
5041	2	1
5056	1	2
5058	2	1
5071	2	1
5072	1	2
5077	2	1
5079	1	2
5088	1	2
5102	1	2
5105	1	2
5141	1	2
5158	2	1
5170	1	2
5171	1	2
5175	1	2
5182	2	1
5185	1	2
5189	1	2
5220	2	1
5224	2	3
5244	1	2
5248	1	2
5254	1	2
5255	2	1
5264	1	2
5269	1	2
5270	1	2
5274	2	1
5279	2	1
5283	1	2
5293	1	2
5295	2	1
5296	1	2
5297	2	1
5299	1	2
5300	1	2
5312	2	3
5313	3	2
5326	2	3
5334	2	1
5358	1	2
5361	1	2
5369	2	1
5370	1	2
5387	1	2
5390	1	2
5392	2	1
5396	2	1
5397	2	1
5399	1	2
5408	1	2
5412	1	2
5424	1	2
5425	2	1
5445	1	2
5451	2	1
5452	1	2
5466	1	2
5477	1	2
5480	2	1
5505	2	1
5510	2	1
5516	1	2
5517	2	1
5519	1	2
5522	1	2
5529	1	2
5532	2	1
5534	2	1
5536	3	2
5538	3	2
5539	2	3
5559	2	1
5566	2	1
5567	2	1
5578	1	2
5584	2	1
5595	2	3
5613	2	1
5658	2	1
5659	1	2
5695	2	3
5697	3	2
5751	1	2
5761	1	2
5762	1	2
5793	2	1
5818	1	2
5819	2	1
5820	2	1
5835	1	2
5837	1	2
5838	2	1
5842	1	2
5843	2	1
5846	1	2
5850	2	1
5868	1	2
5872	1	2
5874	1	2
5875	1	2
5880	1	2
5881	1	2
5891	2	1
5909	2	1
5910	2	1
5917	2	1
5930	2	1
5935	1	2
5941	1	2
5942	1	2
5949	2	1
5958	2	1
5959	1	2
5962	2	1
5963	2	1
5964	1	2
5968	2	1
5969	1	2
5979	1	2
5980	1	2
5983	1	2
6006	2	1
6011	1	2
6030	1	2
6034	1	2
6042	2	1
6044	1	2
6057	2	1
6059	2	1
6089	1	2
6090	1	2
6096	1	2
6100	1	2
6107	1	2
6110	1	2
6127	2	1
6136	3	2
6138	2	1
6139	1	2
6145	2	1
6146	2	1
6161	1	2
6164	2	1
6167	1	2
6174	2	1
6176	2	1
6178	1	2
6179	1	2
6187	2	1
6210	2	1
6269	2	1
6270	2	1
6295	2	1
6296	2	1
6324	1	2
6325	1	2
6331	2	1
6332	2	1
6334	2	1
6336	1	2
6340	1	2
6352	1	2
6353	1	2
6354	2	1
6365	1	2
6371	2	1
6382	2	1
6440	2	1
6453	1	2
6477	1	2
6478	2	1
6544	1	2
6562	1	2
6570	2	1
6572	2	1
6574	1	2
6583	1	2
6593	1	2
6594	1	2
6596	2	1
6606	2	3
6624	2	3
6633	2	3
6635	3	2
6638	2	1
6640	2	1
6665	2	1
6668	1	2
6669	2	1
6673	1	2
6683	2	1
6694	2	1
6776	2	3
6780	2	3
6784	3	2
6787	2	1
6789	1	2
6794	1	2
6796	1	2
6797	1	2
6804	2	1
6805	2	1
6806	3	2
6808	2	3
6828	2	3
6829	2	1
6839	2	1
6840	2	1
6869	1	2
6871	1	2
6873	2	1
6879	1	2
6880	2	1
6883	2	1
6887	1	2
6888	2	1
6892	2	1
6896	1	2
6898	2	1
6900	2	1
6903	1	2
6904	2	1
6911	2	1
6916	2	1
6929	1	2
6950	2	1
6951	1	2
6955	2	1
6956	1	2
6958	2	1
6970	1	2
6971	2	1
6975	1	2
6981	2	1
6993	2	1
6997	2	1
7012	2	1
7013	1	2
7014	1	2
7017	1	2
7028	1	2
7050	2	1
7065	2	1
7066	1	2
7075	1	2
7077	1	2
7098	1	2
7099	1	2
7122	2	1
7131	1	2
7134	1	2
7140	2	1
7143	2	1
7147	1	2
7151	1	2
7164	1	2
7165	2	1
7170	1	2
7199	1	2
7211	1	2
7274	1	2
7278	1	2
7288	1	2
7291	2	1
7308	1	2
7312	1	2
7325	2	1
7326	2	1
7328	2	1
7337	1	2
7341	1	2
7342	1	2
7344	1	2
7347	1	2
7426	1	2
7438	1	2
7473	1	2
7475	1	2
7477	2	1
7486	1	2
7492	1	2
7519	1	2
7520	1	2
7522	1	2
7526	1	2
7532	1	2
7534	2	1
7540	2	1
7541	1	2
7548	2	1
7549	1	2
7550	1	2
7566	1	2
7573	2	1
7575	1	2
7578	1	2
7583	1	2
7584	1	2
7587	1	2
7598	2	1
7600	1	2
7607	2	1
7616	1	2
7618	1	2
7623	2	1
7627	1	2
7634	1	2
7636	1	2
7638	1	2
7640	2	1
7646	1	2
7654	2	1
7671	2	1
7673	1	2
7682	1	2
7684	1	2
7685	2	1
7686	1	2
7691	2	1
7714	2	1
7725	1	2
7731	1	2
7748	1	2
7778	1	2
7785	2	1
7793	1	2
7800	1	2
7801	2	1
7804	1	2
7806	2	1
7808	1	2
7809	2	1
7826	2	1
7851	2	1
7854	1	2
7861	1	2
7864	2	1
7865	2	1
7873	1	2
7877	2	1
7879	2	1
7887	2	1
7896	1	2
7902	1	2
7903	2	1
7907	1	2
7908	2	1
7922	2	1
7931	2	1
7932	1	2
7934	1	2
7935	2	1
7957	2	1
7958	1	2
7960	2	1
7976	2	1
8020	1	2
8035	1	2
8053	2	1
8054	2	1
8058	2	1
8060	1	2
8063	2	1
8067	1	2
8073	1	2
8074	1	2
8078	1	2
8079	2	1
8083	1	2
8086	2	1
8100	2	1
8108	2	1
8118	2	1
8119	2	1
8127	1	2
8161	2	1
8162	2	1
8166	2	1
8167	2	1
8169	1	2
8172	1	2
8177	1	2
8180	1	2
8184	2	1
8210	2	1
8213	1	2
8216	2	1
8260	1	2
8261	2	1
8283	1	2
8284	1	2
8290	2	1
8294	1	2
8300	2	1
8306	2	1
8314	1	2
8331	1	2
8343	2	1
8344	2	1
8346	2	1
8367	2	1
8375	2	1
8376	1	2
8377	1	2
8384	2	1
8397	3	2
8412	2	1
8415	1	2
8420	2	1
8424	1	2
8435	1	2
8449	1	2
8451	1	2
8456	2	1
8460	1	2
8463	2	1
8465	1	2
8469	2	1
8479	1	2
8480	1	2
8491	2	1
8492	1	2
8500	1	2
8514	2	1
8515	2	1
8517	1	2
8518	2	1
8519	2	1
8520	1	2
8521	1	2
8524	2	1
8525	1	2
8530	2	1
8546	1	2
8567	1	2
8570	2	1
8580	2	1
8587	2	1
8589	1	2
8590	2	1
8591	2	1
8593	1	2
8594	2	1
8598	1	2
8612	2	1
8626	1	2
8629	1	2
8632	2	1
8633	1	2
8640	1	2
8641	2	1
8643	1	2
8648	2	1
8649	1	2
8651	2	1
8659	2	1
8660	2	1
8661	2	1
8662	1	2
8668	2	1
8670	2	1
8672	1	2
8674	1	2
8682	1	2
8691	2	1
8698	2	1
8753	1	2
8756	1	2
8766	1	2
8771	2	1
8786	3	2
8791	3	2
8792	3	2
8794	3	2
8797	3	2
8799	2	3
8800	2	3
8813	3	2
8822	3	2
8825	2	3
8831	3	2
8836	2	3
8837	3	2
8851	3	2
8876	2	1
8879	1	2
8885	1	2
8886	2	1
8887	2	1
8888	1	2
8892	3	2
8899	1	2
8900	3	2
8901	3	1
8903	2	3
8922	1	2
8929	1	2
8930	2	1
8940	2	1
8944	1	2
8947	1	2
8950	2	1
8956	1	2
8959	1	2
8970	1	2
8973	2	1
8975	1	2
9015	1	2
9016	2	1
9018	1	2
9019	1	2
9042	3	2
9072	2	1
9094	2	3
9144	3	2
9149	3	2
9155	3	2
9156	2	3
9158	2	3
9164	3	2
9180	3	2
9182	3	2
9191	3	2
9208	3	2
9219	2	3
9222	3	2
9226	2	3
9235	2	3
9237	2	3
9240	2	3
9246	2	3
9249	3	2
9257	3	2
9259	3	2
9269	2	3
9271	3	2
9272	3	2
9283	2	3
9285	3	2
9291	3	2
9296	3	2
9297	2	3
9312	3	2
9317	2	3
9337	2	3
9407	2	3
9416	2	3
9484	2	3
9486	3	2
9489	3	2
9490	3	2
9498	2	3
9511	2	3
9514	3	2
9515	2	3
9561	2	1
9667	1	2
9696	1	2
9697	1	2
9737	2	1
9738	1	2
9742	1	2
9801	2	1
9803	2	1
9804	2	1
9813	1	2
9823	2	1
9831	2	1
9837	1	2
9847	2	1
9856	1	2
9873	2	1
9882	2	1
9884	1	2
9889	1	2
9911	2	3
9931	2	3
9936	2	3
9942	2	3
9943	3	2
9953	1	2
9955	2	1
9957	2	1
10006	3	2
10014	2	3
10063	3	2
10083	3	2
10092	3	2
10100	3	2
10101	3	2
10102	2	3
10105	3	2
10113	3	2
10114	2	3
10125	2	3
10146	1	2
10155	1	2
10156	1	2
10160	1	2
10169	1	2
10176	2	3
10177	2	3
10188	1	2
10194	3	2
10222	1	2
10229	1	2
10230	2	1
10245	1	2
10255	1	2
10256	1	2
10257	2	1
10281	2	1
10284	2	1
10285	2	1
10286	2	1
10291	1	2
10294	2	1
10308	2	1
10309	1	2
10310	1	2
10312	1	2
10314	2	1
10315	1	2
10316	1	2
10326	1	2
10329	1	2
10336	2	1
10345	1	2
10347	2	1
10355	2	1
10360	1	2
10361	2	1
10364	2	1
10396	1	2
10400	2	1
10404	1	2
10447	2	3
10453	3	2
10458	1	2
10467	2	1
10475	1	2
10476	2	1
10481	2	1
10512	2	1
10513	2	1
10525	1	2
10528	2	1
10546	1	2
10555	2	1
10558	1	2
10563	1	2
10570	1	2
10578	2	1
10582	1	2
10589	1	2
10590	1	2
10632	1	2
10641	1	2
10651	1	2
10661	1	2
10667	2	1
10672	1	2
10801	2	1
10804	1	2
10866	3	2
10869	3	2
10881	3	2
10883	3	2
10917	3	2
10918	2	3
10919	3	2
10921	3	2
10922	2	3
10925	3	2
10927	3	2
