Sweep	Move_type	nBreakpoints	Chain_l	Chain_r
2938	3	12	1	2
2939	3	25	2	3
2945	3	15	1	2
2946	3	16	1	2
2953	3	20	1	2
2955	3	23	1	2
2956	3	16	1	2
2958	3	8	1	2
2966	3	5	1	2
2967	3	20	1	3
2976	3	2	1	2
2978	1	1	1	2
2984	1	1	1	3
2994	2	2	1	2
2996	3	10	1	2
3006	3	16	1	3
3009	3	6	1	2
3010	2	2	1	2
3020	3	13	2	3
3025	3	18	1	2
3026	3	28	1	3
3030	3	16	1	3
3031	3	10	1	2
3036	3	12	1	2
3039	3	26	1	2
3040	3	6	1	3
3042	3	7	1	3
3048	3	13	1	3
3050	3	17	1	3
3051	3	18	1	2
3053	3	23	1	3
3066	2	2	1	2
3068	3	18	2	1
3070	3	33	2	1
3072	3	7	1	2
3084	3	23	1	2
3105	3	17	2	1
3109	2	2	1	2
3111	3	4	1	2
3142	1	1	1	2
3143	3	28	1	2
3146	1	1	1	2
3153	3	23	2	1
3154	1	1	2	1
3159	3	5	2	1
3164	3	16	2	1
3165	1	1	1	2
3172	3	10	1	2
3176	1	1	2	1
3178	2	2	1	2
3182	2	2	1	2
3197	3	7	1	2
3201	1	1	1	2
3211	1	1	1	2
3213	3	16	2	1
3217	3	9	1	2
3218	3	13	1	2
3220	3	18	1	2
3224	1	1	2	1
3257	3	12	1	2
3266	3	9	1	2
3270	3	20	1	2
3287	3	7	1	2
3288	3	14	1	2
3296	3	15	1	2
3299	2	2	1	2
3301	2	2	1	2
3304	3	19	2	1
3314	3	15	1	2
3323	3	10	1	2
3326	3	17	1	2
3330	3	11	1	2
3337	2	2	1	2
3341	3	10	1	2
3347	2	2	1	2
3355	3	8	1	2
3356	1	1	1	2
3359	1	1	1	2
3360	3	21	1	3
3368	3	25	1	2
3370	3	22	1	2
3376	3	4	1	3
3378	3	8	1	3
3386	3	25	1	2
3399	3	8	1	2
3400	3	7	1	2
3401	3	17	1	2
3404	2	2	1	2
3405	2	2	2	1
3407	3	6	2	1
3414	3	3	2	1
3418	3	8	1	2
3421	3	20	1	2
3422	1	1	1	2
3426	3	10	1	2
3427	3	17	1	2
3434	3	10	1	3
3435	3	3	1	2
3439	3	23	1	2
3445	3	18	1	3
3448	3	26	1	2
3456	2	2	1	2
3458	3	20	2	1
3494	1	1	1	2
3497	3	33	1	2
3504	1	1	2	1
3511	3	20	1	2
3512	3	8	1	2
3514	3	16	2	1
3530	3	15	1	3
3538	3	22	1	2
3552	3	12	1	2
3560	3	17	1	2
3573	3	13	2	1
3577	3	6	1	2
3578	2	2	1	2
3581	3	10	2	1
3585	3	5	2	1
3586	3	16	2	1
3587	3	22	1	2
3588	2	2	2	1
3596	3	7	2	1
3601	3	11	1	2
3602	3	20	1	3
3609	1	1	1	2
3614	1	1	2	1
3616	3	7	1	2
3624	2	2	1	3
3630	1	1	2	1
3633	3	4	1	2
3635	2	2	2	1
3640	3	17	1	2
3673	2	2	2	1
3684	3	14	1	2
3698	3	8	1	3
3702	3	10	1	2
3705	3	25	1	3
3718	3	17	1	3
3746	3	20	1	2
3760	3	18	1	2
3761	3	6	1	3
3776	1	1	1	3
3796	3	20	1	2
3801	2	2	1	2
3802	1	1	1	2
3813	3	16	1	3
3817	3	12	1	2
3819	3	14	1	2
3820	3	6	1	2
3837	3	20	1	3
3838	3	20	1	3
3844	3	7	1	2
3846	3	5	1	2
3848	3	11	1	2
3853	3	14	1	2
3854	3	15	1	2
3865	3	24	1	3
3870	3	15	2	1
3873	3	12	1	2
3885	3	30	2	1
3897	3	17	1	3
3904	3	13	1	2
3916	3	29	1	2
3924	3	14	1	3
3925	3	6	1	3
3934	3	28	1	2
3948	3	19	1	3
3950	3	7	1	2
3959	1	1	1	2
3963	3	14	1	3
3969	3	11	1	2
3973	3	3	1	2
3984	2	2	1	2
3990	3	5	1	2
3993	3	17	1	2
3997	3	18	1	2
3999	3	8	1	2
4000	3	19	1	3
4017	3	17	1	2
4018	3	19	1	2
4021	1	1	2	1
4022	3	12	1	2
4024	3	15	1	2
4028	3	9	2	1
4029	1	1	2	1
4030	3	3	2	1
4031	3	16	1	2
4038	3	18	2	1
4045	3	11	1	2
4051	3	15	1	2
4060	3	8	1	2
4061	3	15	1	2
4068	3	8	2	1
4069	2	2	2	1
4072	2	2	2	1
4077	3	34	1	2
4078	3	16	2	1
4083	3	19	1	2
4085	1	1	1	2
4099	3	8	2	1
4100	3	12	1	2
4106	3	9	1	2
4107	3	15	1	3
4111	3	14	1	2
4114	2	2	2	1
4116	3	16	2	1
4127	3	19	1	2
4133	3	28	1	2
4141	3	22	1	2
4146	2	2	1	2
4148	3	11	1	2
4154	2	2	2	1
4155	3	17	2	1
4166	3	18	1	2
4168	3	10	1	2
4172	3	3	1	2
4178	3	18	2	1
4179	3	9	2	1
4202	3	18	2	1
4204	2	2	1	2
4206	3	9	2	1
4210	1	1	1	2
4217	3	20	1	2
4222	3	34	1	2
4231	3	18	1	2
4234	3	9	1	2
4236	3	26	1	2
4238	3	8	2	1
4249	1	1	1	2
4252	3	7	1	2
4256	3	14	1	3
4267	1	1	2	1
4276	3	26	1	2
4278	3	13	1	2
4281	1	1	2	1
4283	3	9	1	3
4295	3	17	1	3
4300	3	8	1	2
4309	3	5	1	2
4312	1	1	1	2
4314	3	21	1	2
4325	3	7	2	1
4333	3	18	1	2
4335	1	1	1	3
4339	3	15	1	2
4360	3	10	1	2
4365	3	20	1	2
4389	3	19	2	1
4395	1	1	2	1
4403	3	14	1	2
4408	3	18	1	2
4418	3	19	1	2
4420	3	22	1	2
4421	3	10	1	2
4432	1	1	1	2
4435	1	1	1	2
4437	3	7	1	2
4445	3	11	1	2
4450	3	7	2	1
4465	3	20	1	2
4466	1	1	1	2
4468	3	11	1	2
4472	3	7	2	1
4476	3	16	1	2
4478	2	2	1	2
4490	1	1	1	2
4492	1	1	2	1
4501	3	19	2	1
4505	2	2	1	2
4506	3	8	1	2
4512	3	18	1	2
4516	3	18	1	2
4525	2	2	2	1
4527	3	12	1	2
4534	3	10	1	2
4536	3	9	1	2
4547	3	21	2	1
4551	3	17	1	2
4554	3	17	2	1
4555	3	28	2	1
4577	3	22	1	3
4588	3	21	2	1
4591	3	7	1	2
4593	1	1	1	2
4594	2	2	1	2
4595	3	20	2	1
4601	3	10	1	2
4603	3	6	1	3
4612	3	17	1	2
4614	3	9	1	3
4621	2	2	1	2
4622	3	13	2	1
4625	2	2	1	2
4630	3	15	2	1
4631	3	9	1	2
4634	3	6	2	1
4644	3	17	2	1
4648	3	13	1	2
4657	3	23	1	2
4659	3	7	2	1
4676	1	1	1	2
4678	1	1	2	1
4681	3	5	1	2
4686	3	29	1	2
4687	1	1	1	2
4689	1	1	1	2
4697	3	11	1	2
4699	3	17	1	2
4710	2	2	1	2
4717	3	5	1	2
4718	3	7	1	2
4720	3	8	1	2
4722	1	1	1	2
4724	2	2	2	1
4749	3	9	2	1
4759	3	6	1	2
4761	3	17	2	1
4763	3	11	1	2
4769	3	8	1	2
4775	3	15	2	1
4787	3	21	1	2
4792	3	5	1	2
4804	3	19	1	2
4805	1	1	1	2
4822	3	16	2	1
4824	3	8	2	1
4829	3	16	2	1
4835	3	20	1	2
4837	3	6	1	2
4838	3	5	1	2
4839	3	21	1	2
4840	3	8	1	2
4841	3	15	1	2
4845	3	7	2	1
4846	3	7	1	2
4850	2	2	1	2
4869	3	16	1	2
4871	1	1	1	2
4879	3	13	1	2
4881	2	2	1	2
4895	3	24	1	3
4903	3	7	2	1
4905	3	9	1	3
4909	3	10	2	1
4914	3	19	1	2
4916	3	9	1	2
4919	3	6	1	2
4928	3	11	2	1
4930	2	2	1	2
4941	3	15	1	2
4944	3	12	2	1
4974	3	17	1	2
4993	3	28	2	1
5006	2	2	1	2
5012	3	4	1	2
5022	3	16	1	2
5024	2	2	1	2
5029	3	17	1	2
5033	3	13	1	2
5039	3	10	2	3
5045	3	12	1	2
5058	2	2	2	1
5063	3	10	1	2
5070	3	12	1	2
5080	3	10	2	1
5092	3	10	2	1
5098	2	2	1	2
5101	3	37	1	2
5103	2	2	2	1
5116	3	10	1	2
5121	2	2	1	2
5124	3	14	1	2
5132	2	2	1	2
5138	3	3	1	3
5144	3	17	1	2
5169	3	12	1	2
5170	3	24	1	3
5172	3	5	1	2
5174	3	14	2	1
5179	3	12	1	2
5181	3	22	2	1
5187	3	15	1	2
5188	2	2	1	2
5196	1	1	1	2
5207	3	21	1	2
5208	3	13	1	2
5209	2	2	1	2
5223	3	23	1	2
5229	3	12	1	2
5239	3	15	2	1
5241	3	11	1	2
5247	1	1	1	2
5248	3	25	1	2
5253	3	15	1	2
5260	1	1	1	2
5263	3	15	1	2
5267	3	7	1	2
5272	1	1	2	1
5273	1	1	2	1
5279	3	20	1	2
5283	1	1	1	2
5286	2	2	1	2
5288	1	1	1	2
5291	3	8	1	2
5294	3	20	2	1
5308	3	14	1	2
5316	3	21	1	3
5322	3	24	1	3
5346	3	14	1	2
5348	3	9	1	2
5350	3	19	1	2
5352	1	1	1	2
5361	3	8	2	1
5372	3	23	1	2
5380	3	3	1	2
5386	2	2	1	2
5389	3	13	2	1
5391	3	14	1	2
5392	3	9	2	1
5394	1	1	2	1
5404	1	1	1	2
5409	3	26	2	1
5413	3	29	2	1
5415	2	2	1	2
5416	3	10	1	2
5418	2	2	1	2
5420	3	4	1	2
5423	3	20	1	3
5424	3	21	1	2
5426	3	8	1	2
5427	2	2	1	2
5433	3	6	1	2
5438	3	17	1	2
5440	3	11	1	2
5442	1	1	1	2
5447	3	28	1	2
5450	3	13	1	2
5465	3	7	2	1
5477	3	8	1	2
5486	1	1	1	2
5501	3	20	1	2
5503	3	8	1	2
5506	3	6	1	2
5512	3	14	2	1
5520	3	5	1	2
5531	3	17	1	2
5533	3	13	2	1
5541	3	15	1	3
5549	1	1	1	2
5555	3	18	1	2
5559	3	16	2	1
5561	2	2	1	2
5566	3	20	1	2
5576	3	28	1	2
5584	2	2	2	1
5587	1	1	1	2
5599	3	12	1	2
5607	3	13	1	2
5612	3	10	1	2
5613	3	9	2	1
5622	3	9	1	2
5629	3	5	2	1
5630	1	1	1	3
5639	3	20	1	2
5642	1	1	1	2
5663	3	8	1	3
5682	3	19	1	2
5688	3	23	1	2
5698	3	7	1	3
5716	3	5	1	2
5723	3	13	1	2
5740	3	38	1	2
5742	3	21	1	3
5746	1	1	2	1
5747	2	2	1	2
5752	3	29	1	2
5759	3	17	1	2
5773	3	5	1	2
5782	3	15	1	2
5783	3	26	1	2
5790	3	11	1	3
5793	1	1	1	2
5806	2	2	1	2
5810	2	2	1	2
5824	3	14	1	2
5825	1	1	1	2
5838	2	2	1	2
5842	3	9	1	2
5849	3	25	1	2
5853	3	8	1	2
5874	3	18	2	1
5878	1	1	1	2
5880	3	9	1	2
5881	3	8	2	1
5885	2	2	1	2
5898	3	11	1	2
5901	3	16	1	2
5907	3	19	1	2
5910	3	25	2	1
5924	3	17	1	2
5928	1	1	2	1
5929	2	2	2	1
5934	3	9	1	3
5941	3	17	1	2
5944	2	2	1	3
5949	3	6	2	1
5953	3	25	1	3
5954	3	17	1	2
5956	3	8	1	2
5962	3	8	1	2
5964	3	7	1	2
5965	3	22	2	1
5967	3	9	2	1
5974	3	12	1	2
5976	1	1	1	2
5979	3	16	1	2
5980	2	2	2	1
5993	3	5	1	2
5998	2	2	1	3
6008	2	2	1	2
6013	3	21	1	2
6016	2	2	1	2
6025	3	14	1	3
6030	3	12	1	2
6034	3	19	2	1
6046	3	5	1	2
6060	3	3	2	1
6061	3	18	2	1
6066	3	8	1	3
6069	1	1	1	2
6080	3	9	1	2
6086	3	13	1	2
6089	3	7	1	2
6092	3	10	1	2
6107	1	1	1	2
6113	2	2	1	2
6116	3	13	1	2
6118	2	2	1	2
6126	3	9	1	2
6129	2	2	1	2
6130	1	1	1	2
6131	1	1	1	2
6133	1	1	1	2
6136	3	2	1	3
6137	3	7	1	2
6138	3	28	1	2
6139	3	15	2	1
6152	3	24	1	2
6155	3	28	1	3
6162	3	13	2	1
6167	1	1	2	1
6170	3	17	1	2
6175	2	2	2	1
6177	3	5	2	1
6179	3	17	1	2
6180	3	29	2	1
6182	3	12	1	2
6188	3	15	1	2
6198	3	9	1	2
6201	3	11	1	3
6202	1	1	1	3
6211	3	23	1	2
6218	3	16	2	1
6230	3	13	1	2
6231	3	12	1	3
6238	3	13	1	2
6241	2	2	1	2
6245	3	11	1	3
6252	2	2	1	2
6260	3	16	1	2
6262	3	10	1	2
6272	3	12	1	3
6274	3	17	1	2
6279	3	9	1	2
6289	3	15	1	2
6312	3	26	1	2
6315	2	2	1	3
6326	3	6	1	2
6329	3	20	1	2
6338	3	7	2	1
6340	3	12	1	2
6344	3	22	1	2
6367	3	4	2	1
6374	3	25	1	2
6383	3	10	2	1
6397	3	7	1	2
6409	1	1	1	3
6415	1	1	1	3
6419	3	21	1	2
6421	3	9	1	2
6448	3	15	1	3
6459	3	21	1	2
6474	2	2	1	2
6489	3	21	1	2
6505	3	18	1	3
6516	3	12	1	2
6520	1	1	1	3
6546	3	15	2	1
6564	1	1	2	1
6566	3	11	1	2
6572	3	12	2	1
6575	3	5	2	1
6577	3	25	1	2
6587	1	1	1	2
6589	2	2	2	1
6604	2	2	1	3
6609	3	9	1	3
6613	3	11	1	2
6615	3	12	1	2
6631	3	4	1	3
6664	3	8	1	2
6678	3	25	1	3
6694	3	22	2	1
6696	3	8	1	2
6727	3	8	1	2
6735	1	1	1	2
6759	2	2	1	2
6760	3	7	1	2
6765	3	18	1	2
6773	3	11	1	2
6774	1	1	1	2
6778	3	10	1	2
6790	3	10	2	1
6795	3	23	1	2
6806	3	22	1	2
6814	3	20	2	1
6817	3	17	2	1
6818	3	21	1	2
6829	3	9	1	2
6833	3	15	1	2
6836	3	9	1	2
6853	3	3	1	2
6855	3	4	1	3
6857	3	11	1	2
6870	3	18	1	2
6889	3	10	1	2
6911	3	4	1	2
6914	3	17	2	1
6930	3	19	2	1
6936	3	8	1	2
6938	3	8	2	1
6962	3	20	1	2
6984	3	8	1	2
6994	3	7	2	1
6995	3	12	2	1
7003	3	15	1	2
7011	3	12	1	2
7012	1	1	1	2
7016	3	28	1	2
7037	3	20	2	1
7050	3	11	1	2
7078	3	8	1	2
7093	1	1	1	2
7097	3	9	1	2
7098	3	7	2	1
7112	3	8	1	2
7113	3	15	1	2
7119	3	23	2	1
7134	3	11	2	1
7136	3	5	1	2
7141	2	2	2	1
7145	2	2	1	2
7146	3	12	1	2
7161	3	9	1	2
7167	3	13	1	2
7177	3	10	1	2
7180	3	16	1	2
7188	1	1	2	1
7189	1	1	1	2
7190	1	1	1	2
7200	2	2	2	1
7203	3	4	1	3
7215	3	6	1	2
7229	3	14	1	2
7230	3	22	1	2
7239	3	17	1	3
7240	3	20	1	3
7247	3	13	1	2
7249	3	7	1	2
7257	3	16	1	3
7262	3	21	1	2
7279	3	6	1	2
7284	3	17	2	1
7303	3	14	1	2
7326	2	2	2	1
7329	1	1	1	2
7331	3	5	1	2
7333	2	2	1	2
7344	1	1	1	2
7345	2	2	1	2
7353	2	2	1	2
7362	3	14	1	2
7371	1	1	2	1
7400	3	21	1	2
7415	2	2	1	3
7424	3	10	2	1
7425	3	12	1	3
7428	3	12	1	3
7433	3	18	1	2
7434	3	9	1	2
7439	1	1	2	1
7443	3	16	1	2
7453	3	11	1	2
7463	3	21	1	3
7465	3	15	1	2
7473	3	10	2	1
7482	2	2	1	2
7515	3	18	1	2
7521	3	6	1	2
7529	3	33	1	2
7537	3	11	1	2
7546	3	24	1	2
7549	3	10	2	1
7553	2	2	1	3
7559	3	22	1	2
7586	3	21	1	2
7593	3	17	1	2
7602	3	4	2	1
7604	3	18	1	3
7609	3	28	2	1
7613	2	2	1	2
7614	3	5	1	2
7619	3	7	1	2
7627	3	25	2	1
7632	3	9	1	2
7633	3	8	1	2
7637	1	1	1	2
7639	2	2	1	2
7640	3	21	1	2
7663	3	8	1	2
7668	2	2	1	2
7680	3	6	1	2
7683	2	2	1	2
7691	3	27	1	2
7694	3	37	1	2
7705	3	9	1	3
7707	3	15	1	2
7708	3	12	1	2
7711	3	14	1	2
7720	3	26	1	2
7725	3	11	1	2
7736	3	5	1	3
7744	3	5	1	2
7749	3	7	1	2
7755	3	22	1	2
7760	3	17	1	2
7765	3	7	1	3
7773	3	10	1	2
7774	3	9	1	2
7786	2	2	1	2
7787	1	1	2	1
7800	3	6	2	1
7807	1	1	2	1
7810	1	1	2	1
7820	1	1	1	2
7838	3	15	1	2
7846	3	13	1	2
7852	3	16	2	1
7865	2	2	2	1
7868	3	12	1	2
7871	3	21	1	3
7875	3	20	1	2
7878	2	2	1	2
7885	3	8	1	2
7911	3	7	1	2
7915	3	21	1	2
7916	3	19	1	2
7922	3	21	1	2
7933	3	21	2	1
7936	3	20	2	1
7937	3	13	1	2
7941	3	9	1	2
7947	3	22	1	2
7955	3	6	1	2
7956	2	2	1	2
7959	3	8	1	2
7961	3	34	2	1
7968	3	22	1	2
7987	3	16	1	2
7997	3	11	1	2
7999	3	7	1	2
8001	3	10	1	2
8007	3	13	1	2
8019	3	5	1	2
8032	3	8	1	2
8043	3	22	1	2
8046	3	22	1	3
8052	3	15	1	2
8054	3	14	2	1
8058	3	10	1	2
8080	3	8	2	1
8083	1	1	2	1
8084	3	8	1	2
8086	3	4	2	1
8088	3	16	1	2
8096	3	12	1	2
8104	3	26	1	2
8111	3	16	1	2
8112	3	11	2	1
8121	3	19	1	2
8123	1	1	1	2
8137	3	19	1	2
8139	3	24	1	2
8146	1	1	1	2
8154	2	2	2	1
8166	3	4	2	1
8175	3	32	1	2
8183	3	15	1	2
8186	2	2	1	2
8202	3	7	1	3
8209	3	12	1	2
8216	3	21	1	2
8223	3	21	1	2
8229	2	2	1	2
8231	3	18	1	3
8234	3	4	1	2
8242	3	13	1	3
8244	3	15	1	2
8246	3	14	1	2
8263	3	19	1	2
8273	3	10	1	2
8293	3	20	1	2
8296	3	23	1	2
8297	2	2	1	2
8307	3	15	2	1
8309	3	8	2	1
8323	3	15	1	3
