Sweep	Chain_l	Chain_r
2541	1	2
2542	1	1
2543	1	1
2544	1	2
2546	1	2
2548	1	1
2550	1	1
2552	1	1
2555	1	2
2559	1	2
2562	1	1
2563	1	2
2564	1	1
2565	1	1
2569	1	1
2570	1	1
2571	1	1
2577	1	1
2583	1	1
2585	1	2
2591	1	1
2592	1	2
2596	1	2
2598	1	2
2599	1	1
2601	1	1
2602	1	1
2603	1	1
2604	1	1
2608	1	1
2612	1	2
2614	1	1
2615	1	1
2618	1	1
2620	1	1
2621	1	1
2622	1	1
2623	1	1
2626	1	1
2629	1	1
2630	1	1
2632	1	1
2641	1	1
2642	1	1
2643	1	1
2650	1	1
2653	1	1
2654	1	1
2655	1	1
2656	1	1
2657	1	2
2658	1	2
2660	1	1
2661	1	1
2665	1	1
2667	1	1
2668	1	1
2669	1	1
2670	1	1
2673	1	2
2674	1	2
2675	1	1
2676	1	1
2677	1	1
2678	1	1
2679	1	1
2681	1	2
2682	1	2
2683	1	1
2684	1	2
2686	1	1
2687	1	1
2689	1	1
2692	1	1
2693	1	1
2696	1	1
2698	1	1
2699	1	1
2701	1	1
2703	1	1
2704	1	1
2708	1	1
2709	1	1
2711	1	2
2714	1	2
2717	1	2
2718	1	2
2719	1	1
2725	1	1
2729	1	2
2730	1	1
2734	1	1
2738	1	2
2740	1	1
2741	1	1
2744	1	2
2746	1	2
2750	1	2
2752	1	2
2755	1	1
2756	1	1
2758	1	1
2761	1	1
2762	1	2
2763	1	2
2764	1	2
2766	1	1
2767	1	1
2776	1	1
2778	1	2
2779	1	1
2780	1	1
2783	1	1
2785	1	1
2788	1	1
2789	1	1
2790	1	1
2791	1	1
2794	1	1
2801	1	1
2806	1	2
2807	1	1
2808	1	2
2809	1	2
2812	1	1
2813	1	1
2814	1	1
2819	1	1
2821	1	1
2824	1	1
2825	1	2
2829	1	1
2830	1	1
2831	1	1
2833	1	1
2834	1	1
2836	1	1
2841	1	1
2842	2	3
2846	1	1
2847	1	1
2848	1	1
2850	2	3
2852	1	1
2853	1	1
2854	2	3
2856	1	1
2857	1	1
2858	1	1
2859	2	3
2863	2	3
2865	1	1
2868	1	1
2870	1	1
2871	2	3
2874	1	1
2877	2	3
2885	1	1
2887	1	1
2889	1	1
2893	1	1
2894	1	1
2895	1	1
2897	1	1
2898	1	1
2902	1	1
2912	1	2
2913	1	1
2914	1	1
2915	1	1
2916	1	1
2918	1	1
2919	2	3
2922	1	1
2923	1	1
2928	1	1
2930	1	1
2931	1	1
2935	1	1
2936	1	1
2938	1	2
2939	1	2
2941	1	1
2942	1	1
2944	1	1
2945	1	1
2947	1	2
2948	1	1
2950	1	2
2951	1	2
2955	1	1
2956	1	1
2959	2	3
2961	1	1
2963	2	3
2964	2	3
2966	1	1
2973	1	1
2974	2	3
2975	2	3
2976	1	1
2977	1	1
2979	1	1
2981	1	1
2982	2	3
2987	1	1
2988	1	1
2991	1	1
2992	1	1
2993	2	3
2994	2	3
2996	1	1
3005	1	1
3008	1	1
3011	2	3
3012	2	3
3013	1	1
3014	2	3
3017	1	1
3019	1	2
3020	1	2
3021	2	3
3025	1	1
3027	2	3
3029	1	1
3030	2	3
3033	2	3
3035	2	3
3037	1	1
3038	2	3
3039	2	3
3043	1	1
3045	1	1
3046	2	3
3048	1	1
3049	1	1
3051	2	3
3052	2	3
3053	1	1
3057	1	2
3061	1	2
3063	1	1
3065	1	2
3066	1	1
3068	1	2
3070	1	2
3071	1	1
3072	1	1
3075	1	1
3076	1	2
3079	1	1
3080	1	1
3081	1	1
3083	2	3
3091	1	2
3092	1	2
3094	1	1
3096	2	3
3097	1	2
3098	1	1
3099	2	3
3102	1	1
3103	1	1
3109	1	1
3114	1	1
3118	1	1
3119	1	1
3121	1	2
3122	1	2
3126	1	2
3127	1	2
3130	1	2
3133	1	1
3138	1	1
3144	1	1
3147	1	1
3149	1	2
3150	1	2
3152	1	1
3155	1	1
3157	1	1
3159	1	2
3160	1	2
3161	1	2
3165	1	2
3170	1	1
3174	1	2
3175	1	2
3179	1	1
3180	1	1
3181	1	1
3182	1	1
3183	1	2
3185	1	1
3186	1	1
3187	1	1
3188	1	2
3190	1	1
3191	1	1
3192	1	2
3193	1	2
3195	1	1
3199	1	1
3200	1	1
3205	1	2
3207	1	1
3210	1	1
3211	1	1
3214	1	2
3215	1	2
3221	1	1
3225	1	2
3226	1	1
3232	1	1
3233	1	1
3234	1	1
3235	1	1
3238	1	1
3240	1	1
3243	1	1
3248	1	2
3251	1	2
3254	1	1
3256	1	1
3257	1	1
3258	1	1
3260	1	1
3261	1	1
3262	1	1
3263	1	1
3264	1	1
3266	1	1
3267	1	2
3268	1	2
3274	1	2
3276	1	2
3277	1	1
3279	1	1
3281	1	2
3282	1	1
3288	1	1
3289	1	1
3290	1	1
3295	1	1
3298	1	1
3299	1	1
3302	1	2
3303	1	1
3304	1	2
3307	1	1
3308	1	1
3309	1	1
3313	1	1
3314	1	1
3315	1	2
3316	1	1
3318	1	1
3322	1	1
3323	1	1
3324	1	2
3326	1	1
3327	1	1
3328	1	1
3330	1	1
3331	1	1
3333	1	2
3335	1	1
3337	1	1
3338	1	1
3339	1	1
3341	1	1
3343	1	2
3344	1	2
3345	1	2
3346	1	2
3348	1	1
3354	1	2
3357	1	1
3358	1	1
3360	1	1
3361	1	1
3362	1	1
3364	1	1
3365	1	1
3366	1	1
3367	1	1
3368	1	1
3370	1	1
3371	1	2
3373	1	1
3376	1	1
3378	1	1
3380	1	1
3383	1	1
3385	1	1
3386	1	1
3388	1	2
3389	1	1
3391	1	2
3396	1	1
3397	1	1
3398	1	1
3400	1	1
3401	1	1
3402	1	1
3403	1	1
3404	1	2
3407	1	2
3410	1	1
3411	1	1
3414	1	2
3416	2	3
3419	1	1
3420	1	1
3423	2	3
3426	2	3
3427	2	3
3428	1	1
3429	2	3
3430	1	1
3432	2	3
3435	2	3
3436	1	1
3440	1	2
3443	2	3
3446	1	1
3449	2	3
3450	2	3
3452	1	1
3453	1	1
3454	1	1
3459	1	2
3461	1	1
3462	1	1
3465	1	1
3471	1	1
3472	1	1
3475	1	1
3478	1	2
3479	1	2
3480	1	2
3481	1	1
3482	1	2
3485	1	1
3486	1	1
3488	1	1
3489	1	1
3494	1	1
3497	1	1
3499	1	1
3501	1	1
3502	1	2
3505	1	2
3506	1	1
3507	1	1
3508	1	1
3509	1	2
3510	1	2
3511	1	1
3514	1	1
3515	1	2
3518	1	1
3521	1	1
3523	1	1
3526	1	2
3528	1	2
3532	1	1
3533	1	1
3534	1	1
3536	1	1
3540	1	2
3541	1	1
3542	1	2
3543	1	1
3544	1	1
3546	1	1
3549	1	1
3550	1	1
3551	1	1
3552	1	1
3554	1	1
3562	1	2
3563	1	2
3566	1	1
3567	1	1
3574	1	2
3577	1	1
3578	1	1
3579	1	2
3580	1	2
3582	1	2
3583	1	1
3584	1	2
3586	1	2
3589	1	1
3593	1	2
3596	1	2
3599	1	1
3600	1	1
3601	1	1
3602	1	1
3603	1	2
3606	1	1
3609	1	2
3611	1	1
3613	1	2
3614	1	1
3616	1	1
3617	1	2
3618	1	2
3619	1	2
3621	1	2
3622	1	1
3623	1	1
3624	1	1
3631	1	2
3633	1	1
3635	1	1
3636	1	2
3637	1	1
3641	1	2
3642	1	2
3644	1	1
3645	1	1
3646	1	1
3649	1	1
3650	1	1
3654	1	1
3660	1	1
3662	1	1
3664	1	1
3665	1	2
3670	1	1
3671	1	1
3672	1	2
3675	1	2
3679	1	1
3680	1	2
3681	1	2
3684	1	1
3686	1	1
3687	1	1
3688	1	1
3689	1	1
3691	1	1
3693	2	3
3699	1	1
3700	1	1
3701	1	1
3704	1	1
3706	1	1
3709	1	1
3710	1	1
3711	1	1
3712	2	3
3714	1	1
3715	1	1
3720	1	1
3721	1	1
3722	1	1
3724	2	3
3725	2	3
3726	1	1
3727	1	1
3728	1	1
3734	2	3
3735	2	3
3739	2	3
3740	1	1
3742	1	1
3743	1	1
3745	1	1
3746	1	1
3747	1	1
3748	1	1
3749	1	1
3751	1	1
3753	1	1
3754	1	1
3759	2	3
3761	1	1
3762	2	3
3763	1	1
3766	1	1
3768	1	1
3769	1	1
3770	1	1
3772	1	1
3774	1	1
3775	1	1
3776	1	1
3777	2	3
3778	2	3
3779	1	1
3781	2	3
3783	2	3
3784	1	1
3785	1	1
3786	2	3
3787	1	1
3788	1	1
3789	2	3
3790	1	1
3791	1	1
3792	1	1
3793	1	1
3795	2	3
3796	1	1
3797	1	1
3798	1	1
3799	1	1
3802	1	2
3803	1	2
3805	1	1
3806	1	1
3810	1	1
3811	1	1
3812	1	1
3813	1	1
3814	1	1
3816	1	1
3818	1	1
3819	1	1
3822	1	2
3823	1	2
3825	1	1
3826	1	1
3827	1	1
3828	1	2
3830	1	1
3832	1	1
3837	1	1
3839	1	2
3844	1	1
3847	1	1
3849	2	3
3851	1	1
3854	1	1
3855	1	2
3857	1	1
3859	1	1
3861	1	1
3862	1	1
3864	1	1
3865	1	1
3866	1	1
3869	1	2
3870	1	2
3872	1	1
3874	1	1
3875	1	2
3876	1	1
3877	1	1
3878	1	1
3880	1	1
3881	1	1
3883	1	1
3884	1	2
3886	1	1
3891	1	1
3894	1	1
3895	1	1
3899	1	1
3903	1	1
3904	1	1
3905	1	1
3907	1	1
3908	1	1
3910	1	1
3911	1	1
3915	1	1
3916	1	1
3922	1	1
3926	1	1
3927	1	1
3928	1	1
3932	1	1
3933	1	1
3934	1	1
3941	1	1
3942	1	1
3945	1	1
3946	1	1
3948	1	1
3950	1	1
3951	1	1
3953	1	1
3954	1	1
3955	1	1
3956	1	1
3959	1	1
3961	1	1
3962	1	1
3963	1	1
3967	1	1
3970	1	1
3972	1	1
3973	1	1
3974	1	1
3976	2	3
3977	2	3
3978	1	2
3980	1	2
3981	1	1
3982	1	1
3985	1	1
3986	1	1
3989	1	1
3990	1	1
3991	1	1
3992	1	1
3993	1	1
3994	1	1
3995	1	1
3996	1	1
3997	1	1
3998	1	1
4001	1	1
4002	1	1
4009	1	1
4010	1	1
4012	1	1
4013	1	1
4015	1	1
4018	1	1
4020	1	2
4021	1	2
4022	1	2
4024	1	1
4025	1	1
4028	1	1
4030	1	2
4033	1	2
4037	1	1
4041	1	2
4042	1	1
4047	1	2
4048	1	2
4050	1	1
4051	1	1
4052	1	1
4054	1	1
4056	1	1
4057	1	1
4058	1	2
4060	1	1
4062	1	1
4063	1	1
4067	1	2
4068	1	1
4070	1	1
4071	1	2
4073	1	2
4075	1	1
4076	1	1
4077	1	2
4078	1	1
4083	1	1
4084	1	1
4085	1	1
4087	1	2
4090	1	1
4092	1	1
4094	1	1
4100	1	1
4101	1	1
4102	1	2
4107	1	1
4108	1	1
4109	1	2
4111	1	1
4112	1	2
4116	1	1
4121	1	2
4123	1	2
4124	1	1
4125	1	2
4127	1	1
4128	1	1
4129	1	1
4130	1	1
4131	1	1
4132	1	1
4136	1	1
4137	1	2
4138	1	2
4140	1	1
4144	1	2
4146	1	1
4147	1	1
4152	1	2
4153	1	1
4154	1	1
4155	1	1
4156	1	2
4158	1	2
4159	1	1
4161	1	1
4165	1	1
4168	1	2
4172	1	1
4173	1	1
4174	1	1
4175	1	1
4176	1	2
4177	1	2
4179	1	2
4181	1	1
4182	1	2
4183	1	1
4184	1	2
4186	1	2
4188	1	1
4194	1	1
4196	1	2
4197	1	1
4198	1	1
4201	1	2
4203	1	1
4204	1	1
4207	1	1
4208	1	2
4210	1	1
4211	1	1
4214	1	2
4216	1	2
4217	1	1
4218	1	1
4220	1	2
4222	1	1
4225	1	1
4227	1	1
4229	1	1
4232	1	1
4238	1	1
4239	1	2
4241	1	1
4242	1	2
4243	1	1
4246	1	1
4251	1	2
4255	1	1
4257	1	1
4259	1	1
4261	1	2
4262	1	2
4263	1	2
4264	1	2
4266	1	2
4267	1	1
4269	1	2
4270	1	2
4271	1	2
4272	1	1
4274	1	1
4279	1	2
4280	1	2
4283	1	2
4284	1	1
4286	1	1
4290	1	1
4292	1	1
4293	1	1
4294	1	1
4297	1	2
4299	1	2
4300	1	2
4301	1	2
4304	1	1
4306	1	1
4307	1	2
4309	1	1
4311	1	2
4312	1	2
4313	1	2
4314	1	2
4315	1	1
4316	1	1
4319	1	1
4323	1	1
4326	1	1
4330	1	1
4332	1	1
4334	1	1
4335	1	1
4340	1	1
4342	1	1
4343	1	2
4344	1	2
4345	1	1
4351	1	1
4352	1	1
4354	1	1
4355	1	2
4359	1	1
4361	1	1
4362	1	1
4364	1	2
4366	1	1
4367	1	1
4369	1	1
4370	1	1
4373	1	1
4378	1	2
4379	1	2
4380	1	2
4382	1	1
4385	1	2
4386	1	2
4388	1	2
4389	1	2
4392	1	2
4393	1	1
4396	1	2
4398	1	1
4399	1	1
4400	1	1
4402	1	1
4403	1	2
4404	1	1
4407	1	1
4408	1	1
4409	1	1
4411	1	2
4415	1	1
4416	1	1
4420	1	1
4422	1	1
4423	1	1
4425	1	2
4427	1	1
4429	1	1
4434	1	1
4435	1	1
4436	1	1
4438	1	2
4439	1	2
4440	1	1
4441	1	1
4442	1	1
4443	1	1
4444	1	1
4445	1	1
4447	1	2
4449	1	1
4451	1	1
4456	1	2
4459	1	2
4460	1	1
4462	1	1
4466	1	1
4467	1	2
4468	1	1
4470	1	2
4471	1	1
4473	1	2
4474	1	2
4475	1	1
4476	1	1
4478	1	1
4479	1	1
4480	1	1
4481	1	2
4483	1	1
4484	1	2
4485	1	1
4490	1	1
4491	1	2
4494	1	1
4495	1	1
4496	1	1
4499	1	1
4501	1	2
4503	1	2
4504	1	2
4506	1	1
4509	1	2
4512	1	1
4513	1	2
4516	1	2
4517	1	2
4518	1	2
4519	1	1
4520	1	1
4522	1	1
4523	1	1
4524	1	2
4525	1	2
4526	1	1
4527	1	1
4531	1	1
4533	1	1
4536	1	2
4537	1	1
4538	1	2
4540	1	1
4542	1	1
4544	1	1
4545	1	1
4547	1	1
4548	1	2
4550	1	1
4551	1	1
4555	1	1
4563	1	2
4564	1	2
4566	1	2
4568	1	1
4569	1	1
4572	2	3
4574	2	3
4578	2	3
4580	2	3
4583	1	1
4584	1	1
4585	1	1
4589	1	1
4591	1	1
4593	1	1
4594	1	2
4595	1	2
4596	1	1
4599	1	2
4600	1	1
4601	1	1
4602	2	3
4604	1	1
4609	1	1
4610	1	1
4612	1	1
4613	2	3
4614	1	1
4616	1	2
4618	1	1
4621	1	2
4622	1	2
4624	1	2
4625	1	2
4628	1	1
4629	1	1
4631	1	1
4633	1	2
4634	1	2
4635	1	1
4637	1	1
4638	1	1
4639	1	1
4641	1	1
4642	1	1
4645	1	1
4646	1	2
4649	1	1
4650	1	1
4651	1	1
4654	1	2
4655	1	2
4656	1	1
4657	1	2
4659	1	2
4660	1	1
4661	1	1
4664	1	1
4665	1	1
4667	1	1
4669	1	2
4671	1	1
4675	1	1
4676	1	2
4678	1	2
4680	1	1
4683	1	2
4684	1	2
4687	1	2
4688	1	1
4691	1	1
4692	1	2
4693	1	1
4694	1	1
4696	1	2
4697	1	1
4699	1	1
4700	1	1
4703	1	1
4706	1	1
4707	1	1
4708	1	1
4709	1	2
4711	1	1
4712	1	1
4714	1	1
4717	1	1
4723	1	2
4725	1	1
4726	1	2
4727	1	1
4728	1	1
4731	1	1
4733	1	2
4735	1	2
4737	1	1
4738	1	1
4740	1	2
4741	1	2
4743	1	1
4744	1	2
4746	1	1
4747	1	2
4750	1	2
4754	1	1
4759	1	2
4761	1	2
4763	1	1
4764	1	1
4765	1	1
4766	1	2
4769	1	2
4770	1	1
4773	1	2
4774	1	2
4779	1	1
4780	1	2
4782	1	1
4785	1	2
4790	1	1
4796	1	2
4798	1	2
4799	1	1
4802	1	2
4803	1	2
4804	1	1
4805	1	1
4807	1	1
4808	1	2
4809	1	2
4810	1	1
4813	1	1
4815	1	2
4816	1	2
4817	1	2
4818	1	2
4819	1	1
4820	1	2
4821	1	2
4824	1	1
4826	1	2
4829	1	2
4832	1	2
4834	1	2
4836	1	1
4837	1	1
4838	1	1
4841	1	1
4844	1	2
4845	1	2
4846	1	2
4849	1	1
4851	1	1
4852	1	1
4853	1	1
4857	1	2
4858	1	1
4862	1	1
4872	1	2
4873	1	1
4874	1	1
4876	1	2
4880	1	2
4881	1	1
4883	1	1
4884	1	1
4887	1	1
4888	1	1
4890	1	2
4892	1	1
4896	1	1
4898	1	1
4899	1	1
4901	1	2
4904	1	1
4908	1	2
4909	1	2
4911	1	1
4915	1	1
4916	1	2
4918	1	1
4919	1	2
4920	1	1
4922	1	1
4923	1	1
4924	1	1
4926	1	1
4928	1	2
4929	1	1
4932	1	2
4933	1	1
4934	1	1
4941	1	2
4944	1	2
4945	1	2
4946	1	1
4948	1	1
4949	1	1
4952	1	2
4953	1	1
4954	1	2
4956	1	1
4957	1	1
4958	1	1
4961	1	1
4962	1	1
4963	1	2
4965	1	2
4966	1	2
4967	1	2
4970	1	2
4975	1	1
4978	1	1
4980	1	1
4981	1	1
4982	1	1
4984	1	1
