Sweep	Chain_1	Chain_2	Chain_3	
163	8	27	28	
164	8	28	27	
165	8	28	27	
166	8	28	28	
167	9	28	27	
168	9	28	27	
169	9	26	28	
170	10	26	28	
171	10	26	28	
172	10	26	28	
173	10	26	28	
174	11	27	26	
175	12	28	28	
176	12	28	28	
177	12	28	28	
178	10	26	26	
179	11	22	28	
180	11	22	28	
181	12	28	25	
182	9	24	27	
183	7	27	26	
184	7	26	27	
185	6	25	27	
186	6	25	27	
187	4	25	28	
188	4	25	28	
189	4	26	28	
190	4	26	28	
191	3	27	27	
192	3	27	27	
193	2	24	27	
194	2	24	27	
195	3	26	28	
196	2	28	26	
197	4	28	27	
198	9	26	28	
199	12	27	27	
200	7	24	28	
201	7	24	28	
202	9	27	27	
203	9	27	27	
204	9	27	27	
205	8	26	28	
206	7	27	28	
207	10	27	26	
208	12	27	27	
209	9	25	28	
210	9	28	25	
211	8	27	26	
212	8	27	26	
213	8	28	28	
214	8	28	28	
215	9	28	28	
216	9	28	28	
217	9	28	28	
218	9	28	28	
219	10	27	28	
220	10	28	27	
221	10	27	28	
222	8	28	28	
223	10	25	27	
224	10	25	27	
225	6	26	27	
226	9	28	25	
227	7	25	27	
228	7	25	27	
229	7	27	25	
230	6	27	28	
231	6	28	27	
232	6	27	28	
233	6	27	28	
234	6	27	28	
235	7	28	27	
236	7	28	27	
237	7	28	27	
238	7	28	27	
239	7	27	28	
240	7	28	27	
241	6	27	24	
242	6	24	27	
243	5	26	25	
244	6	26	27	
245	5	25	27	
246	5	27	26	
247	5	27	26	
248	5	27	25	
249	7	28	26	
250	7	25	28	
251	7	25	28	
252	7	25	28	
253	7	25	28	
254	3	26	27	
255	3	26	25	
256	3	26	25	
257	4	27	25	
258	3	27	25	
259	3	25	27	
260	3	25	27	
261	3	27	25	
262	4	26	25	
263	4	26	25	
264	4	25	26	
265	4	26	25	
266	5	24	24	
267	5	24	24	
268	5	24	24	
269	5	24	24	
270	5	19	22	
271	6	23	23	
272	6	20	24	
273	5	24	23	
274	5	24	23	
275	5	24	23	
276	5	23	24	
277	5	23	24	
278	5	24	23	
279	5	23	24	
280	5	22	23	
281	22	5	23	
282	22	5	23	
283	24	7	24	
284	5	21	23	
285	21	5	22	
286	5	21	22	
287	4	25	21	
288	3	20	22	
289	4	18	21	
290	4	18	21	
291	5	13	22	
292	5	12	21	
293	6	12	21	
294	3	8	21	
295	3	9	23	
296	3	9	23	
297	3	8	22	
298	8	3	22	
299	8	3	22	
300	3	8	22	
301	8	3	22	
302	3	8	22	
303	2	23	9	
304	2	10	21	
305	10	2	21	
306	2	10	21	
307	2	10	21	
308	2	12	21	
309	2	12	21	
310	2	21	16	
311	2	16	21	
312	2	16	27	
313	2	16	27	
314	2	12	22	
315	2	12	22	
316	2	12	22	
317	2	22	12	
318	2	12	23	
319	3	9	23	
320	5	13	23	
321	5	13	23	
322	4	10	21	
323	3	10	25	
324	3	10	25	
325	7	14	24	
326	13	5	26	
327	5	13	26	
328	5	13	26	
329	6	13	25	
330	13	6	26	
331	13	6	26	
332	11	7	27	
333	15	5	27	
334	5	13	28	
335	4	13	27	
336	4	13	27	
337	4	13	27	
338	10	3	26	
339	3	10	26	
340	10	5	27	
341	5	10	27	
342	5	12	28	
343	6	11	27	
344	6	11	27	
345	6	11	27	
346	2	10	28	
347	2	10	28	
348	2	10	28	
349	11	3	27	
350	13	4	27	
351	4	13	27	
352	13	4	27	
353	13	4	27	
354	3	9	27	
355	3	9	27	
356	9	3	27	
357	3	9	27	
358	3	9	27	
359	9	3	27	
360	9	3	27	
361	4	11	28	
362	10	6	24	
363	10	9	20	
364	7	9	25	
365	7	9	25	
366	9	7	25	
367	7	12	25	
368	6	11	27	
369	6	11	27	
370	6	12	26	
371	6	12	26	
372	6	12	26	
373	5	10	28	
374	10	5	28	
375	10	5	28	
376	5	11	28	
377	10	7	25	
378	7	10	25	
379	10	7	25	
380	10	7	25	
381	7	11	26	
382	11	7	26	
383	10	9	24	
384	9	10	23	
385	9	8	21	
386	10	9	22	
387	10	9	22	
388	10	9	22	
389	10	9	22	
390	9	10	22	
391	9	7	26	
392	7	9	26	
393	9	7	26	
394	7	9	26	
395	8	14	24	
396	9	15	23	
397	12	10	27	
398	11	9	25	
399	10	13	23	
400	10	13	23	
401	12	13	24	
402	13	12	24	
403	12	13	24	
404	12	13	24	
405	12	13	24	
406	10	10	24	
407	10	10	24	
408	7	11	26	
409	11	7	26	
410	7	11	26	
411	6	10	25	
412	6	10	25	
413	10	6	25	
414	6	10	25	
415	5	12	26	
416	5	12	26	
417	5	12	26	
418	4	10	24	
419	4	11	22	
420	4	12	26	
421	5	12	26	
422	6	13	26	
423	6	13	19	
424	12	5	23	
425	5	12	24	
426	5	12	24	
427	5	12	24	
428	5	12	24	
429	12	5	24	
430	11	6	23	
431	5	12	24	
432	5	12	24	
433	5	12	26	
434	5	12	26	
435	6	11	23	
436	5	10	26	
437	5	10	26	
438	10	5	26	
439	6	10	27	
440	10	6	27	
441	6	10	27	
442	9	9	28	
443	7	8	28	
444	7	8	28	
445	8	7	28	
446	11	9	28	
447	7	9	28	
448	7	9	28	
449	9	7	28	
450	10	8	28	
451	11	10	28	
452	11	10	28	
453	11	8	28	
454	9	11	28	
455	8	13	28	
456	13	8	28	
457	8	13	28	
458	13	7	28	
459	7	13	28	
460	7	13	28	
461	9	11	28	
462	8	11	28	
463	8	11	28	
464	8	11	28	
465	8	10	28	
466	8	10	28	
467	10	8	28	
468	9	10	28	
469	9	11	28	
470	9	11	28	
471	9	11	28	
472	8	15	28	
473	6	15	27	
474	15	6	27	
475	7	12	28	
476	14	7	28	
477	7	14	28	
478	7	14	28	
479	6	14	28	
480	9	13	28	
481	13	9	28	
482	8	16	28	
483	8	16	28	
484	7	16	28	
485	7	16	28	
486	7	16	28	
487	6	14	28	
488	7	16	28	
489	6	14	28	
490	6	13	28	
491	6	13	28	
492	6	13	28	
493	6	13	28	
494	6	13	28	
495	6	13	28	
496	13	9	28	
497	13	9	28	
498	15	10	28	
499	15	10	28	
500	9	13	27	
501	9	14	26	
502	9	14	26	
503	9	14	27	
504	9	14	27	
505	9	14	27	
506	9	14	27	
507	14	9	27	
508	9	14	27	
509	8	15	27	
510	8	15	27	
511	11	13	28	
512	11	13	28	
513	8	15	28	
514	9	14	28	
515	14	9	27	
516	9	14	27	
517	9	14	27	
518	8	13	26	
519	8	13	26	
520	8	13	26	
521	9	13	28	
522	9	13	28	
523	9	13	28	
524	9	11	27	
525	7	9	23	
526	7	12	24	
527	7	12	24	
528	7	12	24	
529	7	12	24	
530	10	11	24	
531	10	11	24	
532	11	10	24	
533	11	10	24	
534	10	11	24	
535	5	11	24	
536	7	13	22	
537	9	16	27	
538	14	9	25	
539	13	10	26	
540	13	10	26	
541	9	12	25	
542	13	5	28	
543	12	7	26	
544	14	5	25	
545	14	5	25	
546	5	14	25	
547	5	14	25	
548	5	14	25	
549	5	14	25	
550	5	12	27	
551	9	14	26	
552	9	14	26	
553	14	9	26	
554	9	14	26	
555	9	14	26	
556	14	9	26	
557	9	14	26	
558	12	7	28	
559	11	4	26	
560	11	9	27	
561	6	12	28	
562	6	14	27	
563	5	16	28	
564	5	16	28	
565	5	16	28	
566	5	16	28	
567	13	7	25	
568	13	11	25	
569	12	8	28	
570	13	10	27	
571	10	13	27	
572	10	13	27	
573	16	13	28	
574	10	18	28	
575	10	18	28	
576	10	18	28	
577	10	18	28	
578	10	18	28	
579	10	18	28	
580	10	18	28	
581	10	17	28	
582	11	19	28	
583	11	19	28	
584	11	19	28	
585	11	19	28	
586	11	19	28	
587	11	19	28	
588	11	19	28	
589	11	19	28	
590	10	14	27	
591	13	15	27	
592	11	16	28	
593	11	16	28	
594	14	8	26	
595	14	5	26	
596	5	14	26	
597	5	14	26	
598	5	14	26	
599	5	14	26	
600	7	13	25	
601	5	13	23	
602	5	13	23	
603	6	13	22	
604	6	15	26	
605	8	15	25	
606	8	15	25	
607	7	16	26	
608	6	10	28	
609	6	10	28	
610	12	7	28	
611	7	12	28	
612	7	12	28	
613	7	12	28	
614	7	12	28	
615	8	14	28	
616	8	14	28	
617	6	14	25	
618	5	13	27	
619	13	5	27	
620	12	6	28	
621	9	8	28	
622	6	10	28	
623	6	10	28	
624	6	10	28	
625	8	11	28	
626	11	8	28	
627	12	7	29	
628	12	7	29	
629	7	12	29	
630	9	14	28	
631	9	16	28	
632	8	15	28	
633	8	15	28	
634	8	15	28	
635	8	15	28	
636	6	14	28	
637	5	16	28	
638	6	13	28	
639	7	14	28	
640	6	14	28	
641	6	14	28	
642	7	12	28	
643	7	12	28	
644	7	12	28	
645	6	13	28	
646	6	12	28	
647	6	11	28	
648	6	12	27	
649	6	12	27	
650	7	15	27	
651	7	13	27	
652	7	13	27	
653	13	7	27	
654	13	7	27	
655	7	13	27	
656	7	13	27	
657	7	13	27	
658	8	15	27	
659	8	15	27	
660	8	15	27	
661	5	11	26	
662	7	13	28	
663	7	13	28	
664	6	11	27	
665	6	11	27	
666	11	6	27	
667	14	7	28	
668	7	14	28	
669	7	14	28	
670	7	14	28	
671	7	16	27	
672	7	16	27	
673	5	12	28	
674	7	14	28	
675	6	15	28	
676	6	20	28	
677	6	20	28	
678	6	28	20	
679	7	18	27	
680	7	18	27	
681	5	16	28	
682	5	18	28	
683	6	15	28	
684	6	17	28	
685	6	20	28	
686	6	20	28	
687	6	20	28	
688	6	20	28	
689	7	17	28	
690	6	16	28	
691	6	16	28	
692	6	16	28	
693	6	16	28	
694	6	16	28	
695	6	16	28	
696	6	16	28	
697	6	16	28	
698	6	16	28	
699	7	15	28	
700	7	15	28	
701	6	20	27	
702	6	20	27	
703	6	20	27	
704	6	20	27	
705	7	15	27	
706	7	16	26	
707	7	16	26	
708	7	16	26	
709	8	14	26	
710	8	14	26	
711	15	8	26	
712	9	19	28	
713	9	19	28	
714	9	19	28	
715	9	18	28	
716	9	18	28	
717	8	17	28	
718	8	17	28	
719	7	18	26	
720	7	18	26	
721	7	18	26	
722	7	18	26	
723	7	23	25	
724	7	23	25	
725	8	20	27	
726	8	20	27	
727	8	20	27	
728	7	19	27	
729	9	20	28	
730	9	20	28	
731	11	19	25	
732	9	17	26	
733	10	15	27	
734	10	15	27	
735	10	15	27	
736	10	15	27	
737	10	14	27	
738	10	14	27	
739	11	15	28	
740	11	15	28	
741	11	15	28	
742	7	17	28	
743	7	17	28	
744	7	17	28	
745	7	17	28	
746	7	17	28	
747	12	7	28	
748	9	9	28	
749	9	9	28	
750	12	11	27	
751	11	12	28	
752	11	12	28	
753	11	9	28	
754	11	12	28	
755	9	12	27	
756	12	9	27	
757	12	9	27	
758	9	12	27	
759	11	8	28	
760	10	11	27	
761	11	10	27	
762	11	10	27	
763	11	10	27	
764	10	11	27	
765	11	11	28	
766	11	11	28	
767	7	14	26	
768	7	14	26	
769	7	14	26	
770	7	14	26	
771	7	14	26	
772	7	14	26	
773	10	13	26	
774	13	10	26	
775	11	10	25	
776	10	11	25	
777	11	10	24	
778	11	10	24	
779	10	11	24	
780	10	11	24	
781	11	10	24	
782	10	13	20	
783	12	12	23	
784	12	12	23	
785	12	12	23	
786	14	14	19	
787	15	14	21	
788	15	14	21	
789	13	13	23	
790	13	13	23	
791	14	13	25	
792	10	11	24	
793	11	10	24	
794	10	11	24	
795	11	13	24	
796	11	12	27	
797	11	12	27	
798	10	10	28	
799	11	10	27	
800	8	10	28	
801	8	10	28	
802	8	10	28	
803	7	11	28	
804	7	13	25	
805	10	12	25	
806	10	12	26	
807	11	14	26	
808	10	15	27	
809	12	15	25	
810	12	15	25	
811	15	12	25	
812	13	10	25	
813	10	13	25	
814	10	13	25	
815	10	13	25	
816	10	13	25	
817	8	14	26	
818	8	14	24	
819	8	14	28	
820	8	14	28	
821	8	14	28	
822	8	14	28	
823	14	8	27	
824	11	12	28	
825	12	11	28	
826	11	12	28	
827	11	12	28	
828	12	11	28	
829	9	9	21	
830	8	12	23	
831	8	12	23	
832	8	12	23	
833	8	12	23	
834	8	12	23	
835	8	12	20	
836	8	12	20	
837	8	12	20	
838	8	12	20	
839	8	12	20	
840	11	14	21	
841	11	14	21	
842	11	14	21	
843	9	13	20	
844	9	13	20	
845	9	13	20	
846	9	13	20	
847	9	13	20	
848	9	15	21	
849	9	15	21	
850	10	16	21	
851	10	16	21	
852	10	16	21	
853	10	17	20	
854	10	15	24	
855	9	14	22	
856	9	15	26	
857	11	16	23	
858	11	16	23	
859	10	14	25	
860	10	14	25	
861	10	14	25	
862	10	14	25	
863	9	17	23	
864	16	10	24	
865	16	10	24	
866	10	16	24	
867	14	10	25	
868	10	14	25	
869	10	13	25	
870	10	13	25	
871	12	13	25	
872	10	15	24	
873	9	12	24	
874	9	16	24	
875	11	14	24	
876	9	13	21	
877	9	13	21	
878	9	13	21	
879	9	13	22	
880	9	13	22	
881	9	13	22	
882	14	11	25	
883	11	14	25	
884	11	13	22	
885	13	13	19	
886	13	13	19	
887	13	13	19	
888	13	13	19	
889	11	13	21	
890	12	14	19	
891	13	11	24	
892	11	13	24	
893	13	16	22	
894	13	13	27	
895	13	13	27	
896	13	13	27	
897	14	14	26	
898	9	11	26	
899	9	13	28	
900	9	13	28	
901	9	13	28	
902	9	13	28	
903	11	14	28	
904	14	11	28	
905	8	15	27	
906	8	15	27	
907	8	15	27	
908	10	14	28	
909	8	14	28	
910	8	14	28	
911	8	14	28	
912	13	9	24	
913	12	13	25	
914	13	12	25	
915	8	15	26	
916	9	14	26	
917	9	14	26	
918	14	9	26	
919	9	14	26	
920	14	10	22	
921	9	16	21	
922	8	12	22	
923	8	12	22	
924	8	12	22	
925	8	12	22	
926	8	12	22	
927	8	15	22	
928	8	15	22	
929	8	15	22	
930	8	14	17	
931	8	14	16	
932	8	16	14	
933	8	14	16	
934	8	16	12	
935	8	17	17	
936	8	17	17	
937	9	12	19	
938	10	16	13	
939	10	16	13	
940	10	13	16	
941	10	16	19	
942	10	16	19	
943	10	12	21	
944	9	14	21	
945	9	14	21	
946	9	14	21	
947	10	11	28	
948	10	11	28	
949	10	11	28	
950	8	10	27	
951	10	8	27	
952	8	11	24	
953	9	11	26	
954	9	11	28	
955	9	11	28	
956	9	11	27	
957	9	11	27	
958	9	11	27	
959	8	15	25	
960	10	8	24	
961	8	10	24	
962	9	11	26	
963	9	11	26	
964	9	11	26	
965	9	11	26	
966	10	8	26	
967	10	8	26	
968	8	9	27	
969	8	9	27	
970	9	10	27	
971	9	10	27	
972	8	13	26	
973	8	13	26	
974	7	10	24	
975	7	10	24	
976	7	10	24	
977	7	10	24	
978	6	13	24	
979	8	12	25	
980	8	12	25	
981	9	11	23	
982	9	11	23	
983	7	11	21	
984	10	12	24	
985	12	10	24	
986	8	11	22	
987	8	11	22	
988	8	11	22	
989	8	11	22	
990	8	11	22	
991	8	11	22	
992	9	11	25	
993	11	9	25	
994	11	9	25	
995	8	9	26	
996	9	7	28	
997	9	7	23	
998	7	10	21	
999	6	11	22	
1000	9	8	22	
1001	8	9	22	
1002	8	7	23	
1003	7	8	22	
1004	7	7	22	
1005	6	9	21	
1006	6	9	21	
1007	9	7	22	
1008	7	7	20	
1009	8	6	22	
1010	7	8	21	
1011	6	9	23	
1012	8	8	20	
1013	8	10	22	
1014	8	10	22	
1015	8	10	22	
1016	8	10	22	
1017	6	8	23	
1018	6	7	21	
1019	6	7	21	
1020	7	6	21	
1021	6	7	21	
1022	6	7	21	
1023	6	7	21	
1024	9	8	25	
1025	8	9	25	
1026	7	12	26	
1027	7	12	26	
1028	7	12	26	
1029	6	9	24	
1030	8	8	24	
1031	6	9	27	
1032	6	9	27	
1033	7	8	27	
1034	7	9	24	
1035	9	7	24	
1036	5	9	22	
1037	5	10	23	
1038	5	10	23	
1039	5	10	23	
1040	5	10	23	
1041	6	11	22	
1042	5	10	25	
1043	6	8	22	
1044	8	6	22	
1045	7	6	23	
1046	6	7	23	
1047	7	6	23	
1048	6	7	23	
1049	7	6	23	
1050	7	6	26	
1051	8	5	26	
1052	6	6	26	
1053	6	5	24	
1054	8	4	26	
1055	4	8	26	
1056	4	8	26	
1057	4	9	28	
1058	4	9	28	
1059	7	4	28	
1060	6	4	26	
1061	4	6	26	
1062	6	4	26	
1063	6	5	27	
1064	6	5	27	
1065	6	5	28	
1066	6	5	28	
1067	6	5	28	
1068	6	5	28	
1069	6	5	28	
1070	7	10	27	
1071	7	10	27	
1072	6	5	27	
1073	6	5	27	
1074	5	6	27	
1075	5	6	27	
1076	5	6	27	
1077	7	5	27	
1078	5	7	27	
1079	5	7	27	
1080	5	7	27	
1081	9	9	28	
1082	9	9	28	
1083	9	9	28	
1084	9	9	28	
1085	6	9	28	
1086	7	9	27	
1087	7	8	27	
1088	7	11	28	
1089	7	11	28	
1090	7	11	28	
1091	7	11	28	
1092	7	11	28	
1093	9	7	27	
1094	9	7	27	
1095	7	9	27	
1096	7	9	27	
1097	6	9	27	
1098	9	6	27	
1099	6	9	27	
1100	9	8	26	
1101	8	9	26	
1102	8	9	26	
1103	8	9	26	
1104	8	9	26	
1105	7	12	23	
1106	6	13	28	
1107	13	7	27	
1108	10	12	27	
1109	6	14	26	
1110	6	17	27	
1111	6	17	27	
1112	6	17	27	
1113	6	17	27	
1114	8	18	27	
1115	8	15	28	
1116	8	15	28	
1117	9	15	27	
1118	8	17	27	
1119	8	17	28	
1120	10	16	27	
1121	14	9	28	
1122	11	13	26	
1123	11	16	26	
1124	11	16	26	
1125	11	14	26	
1126	12	19	27	
1127	12	18	28	
1128	11	18	28	
1129	12	17	27	
1130	11	16	28	
1131	11	16	28	
1132	11	16	28	
1133	10	16	28	
1134	10	16	28	
1135	10	17	27	
1136	10	15	27	
1137	17	9	26	
1138	9	16	27	
1139	10	17	27	
1140	10	18	28	
1141	10	18	28	
1142	9	18	26	
1143	9	18	26	
1144	9	18	26	
1145	9	18	26	
1146	10	17	28	
1147	10	17	28	
1148	10	17	28	
1149	10	17	28	
1150	11	14	28	
1151	8	16	28	
1152	8	16	28	
1153	9	16	27	
1154	8	11	28	
1155	8	11	28	
1156	6	15	26	
1157	6	15	26	
1158	6	15	26	
1159	6	15	26	
1160	6	18	26	
1161	6	18	26	
1162	5	19	27	
1163	6	24	26	
1164	6	24	28	
1165	6	21	27	
1166	9	26	23	
1167	8	24	26	
1168	8	24	26	
1169	8	24	26	
1170	8	26	24	
1171	8	26	24	
1172	8	24	26	
1173	8	23	28	
1174	8	23	28	
1175	6	20	28	
1176	6	24	27	
1177	6	24	27	
1178	6	24	27	
1179	5	20	28	
1180	5	20	28	
1181	5	20	28	
1182	5	21	27	
1183	5	20	28	
1184	6	18	28	
1185	6	18	28	
1186	6	20	28	
1187	7	20	28	
1188	7	20	28	
1189	7	20	28	
1190	7	20	28	
1191	6	24	27	
1192	6	24	27	
1193	6	24	27	
1194	6	24	27	
1195	6	24	27	
1196	7	20	28	
1197	7	20	28	
1198	7	20	28	
1199	7	20	28	
1200	7	20	28	
1201	7	20	28	
1202	6	22	27	
1203	7	22	24	
1204	7	22	24	
1205	7	22	24	
1206	6	23	24	
1207	6	24	27	
1208	7	23	27	
1209	7	23	28	
1210	7	22	29	
1211	7	24	28	
1212	6	22	27	
1213	6	22	27	
1214	6	22	28	
1215	7	23	25	
1216	6	26	24	
1217	6	22	26	
1218	10	28	23	
1219	10	23	28	
1220	8	22	27	
1221	7	22	28	
1222	10	27	27	
1223	7	24	28	
1224	6	22	27	
1225	6	23	28	
1226	9	22	28	
1227	9	21	28	
1228	9	21	28	
1229	9	21	28	
1230	10	23	28	
1231	10	23	28	
1232	10	23	28	
1233	10	23	28	
1234	11	25	28	
1235	11	22	26	
1236	11	23	27	
1237	11	23	24	
1238	11	24	23	
1239	7	25	27	
1240	7	27	25	
1241	7	25	27	
1242	7	24	22	
1243	8	22	24	
1244	7	23	21	
1245	7	21	23	
1246	7	23	21	
1247	7	23	21	
1248	7	23	21	
1249	7	21	23	
1250	7	23	21	
1251	7	21	23	
1252	7	21	23	
1253	7	20	24	
1254	8	25	23	
1255	8	25	23	
1256	8	23	23	
1257	9	27	26	
1258	9	22	27	
1259	10	21	27	
1260	10	23	27	
1261	10	23	27	
1262	10	23	26	
1263	7	23	28	
1264	7	23	28	
1265	7	23	28	
1266	7	23	28	
1267	7	23	28	
1268	7	23	28	
1269	7	23	28	
1270	7	27	26	
1271	7	22	24	
1272	7	22	24	
1273	9	26	23	
1274	9	23	24	
1275	10	23	27	
1276	10	23	27	
1277	10	27	23	
1278	10	23	27	
1279	10	23	27	
1280	10	27	23	
1281	9	25	25	
1282	9	26	24	
1283	9	24	26	
1284	9	24	26	
1285	11	21	27	
1286	9	19	26	
1287	10	18	28	
1288	10	18	28	
1289	10	18	28	
1290	10	18	28	
1291	13	21	29	
1292	13	21	29	
1293	13	21	29	
1294	13	21	29	
1295	13	21	29	
1296	13	21	29	
1297	11	22	26	
1298	12	17	26	
1299	11	18	27	
1300	11	18	27	
1301	9	22	28	
1302	9	22	28	
1303	8	19	28	
1304	8	19	28	
1305	8	18	27	
1306	8	18	27	
1307	8	18	27	
1308	11	19	27	
1309	10	19	26	
1310	9	19	28	
1311	8	20	27	
1312	9	20	25	
1313	13	22	29	
1314	13	22	29	
1315	15	23	28	
1316	11	19	25	
1317	10	22	26	
1318	10	22	26	
1319	12	23	28	
1320	12	23	28	
1321	9	24	27	
1322	12	16	28	
1323	9	14	27	
1324	9	21	28	
1325	9	21	28	
1326	9	21	28	
1327	9	21	28	
1328	9	21	28	
1329	11	18	28	
1330	8	19	27	
1331	8	19	27	
1332	8	17	28	
1333	12	20	27	
1334	12	20	27	
1335	8	14	28	
1336	8	14	27	
1337	12	14	27	
1338	12	14	27	
1339	9	16	27	
1340	10	19	26	
1341	12	20	28	
1342	12	20	28	
1343	11	20	28	
1344	11	20	28	
1345	11	19	27	
1346	11	19	27	
1347	11	18	26	
1348	11	19	26	
1349	13	18	28	
1350	10	20	28	
1351	11	24	27	
1352	12	19	27	
1353	10	13	28	
1354	9	17	28	
1355	9	17	28	
1356	9	17	28	
1357	10	23	28	
1358	9	21	27	
1359	10	24	28	
1360	10	24	28	
1361	10	24	28	
1362	10	24	28	
1363	14	24	28	
1364	14	24	28	
1365	13	21	25	
1366	14	18	27	
1367	14	18	27	
1368	14	17	26	
1369	14	26	17	
1370	13	20	24	
1371	13	20	24	
1372	11	22	27	
1373	11	22	27	
1374	11	22	27	
1375	12	22	28	
1376	12	22	28	
1377	10	20	26	
1378	10	20	26	
1379	10	20	28	
1380	9	21	27	
1381	9	21	27	
1382	9	21	27	
1383	6	25	28	
1384	6	25	28	
1385	6	25	28	
1386	6	25	28	
1387	5	24	26	
1388	5	26	24	
1389	5	24	26	
1390	5	20	25	
1391	5	24	17	
1392	5	24	17	
1393	5	20	21	
1394	5	21	28	
1395	5	21	28	
1396	6	18	27	
1397	6	18	27	
1398	6	18	27	
1399	6	18	27	
1400	6	18	27	
1401	9	20	26	
1402	9	20	26	
1403	7	22	28	
1404	7	22	28	
1405	9	24	27	
1406	10	26	28	
1407	10	26	28	
1408	8	23	27	
1409	8	23	27	
1410	10	26	25	
1411	8	23	26	
1412	6	25	24	
1413	6	24	25	
1414	6	25	24	
1415	5	20	24	
1416	5	20	24	
1417	5	23	26	
1418	5	23	26	
1419	5	23	26	
1420	6	20	28	
1421	6	19	26	
1422	6	19	26	
1423	6	19	26	
1424	6	19	26	
1425	6	19	26	
1426	7	19	25	
1427	7	19	28	
1428	7	19	28	
1429	7	19	28	
1430	6	16	26	
1431	6	11	27	
1432	6	13	28	
1433	6	13	28	
1434	8	11	27	
1435	7	10	26	
1436	7	14	25	
1437	7	14	25	
1438	8	14	25	
1439	8	14	25	
1440	8	14	27	
1441	8	14	27	
1442	8	14	27	
1443	8	14	27	
1444	11	16	27	
1445	9	14	23	
1446	8	18	24	
1447	10	13	25	
1448	10	13	25	
1449	12	16	24	
1450	10	13	28	
1451	10	13	28	
1452	9	17	27	
1453	9	17	27	
1454	9	18	28	
1455	10	17	28	
1456	10	17	28	
1457	10	17	28	
1458	9	18	27	
1459	9	18	27	
1460	9	13	29	
1461	10	12	28	
1462	9	14	28	
1463	9	17	26	
1464	13	15	28	
1465	13	15	28	
1466	10	16	28	
1467	10	18	27	
1468	10	18	27	
1469	10	18	27	
1470	10	18	27	
1471	10	18	27	
1472	7	19	26	
1473	7	19	26	
1474	7	16	28	
1475	6	15	27	
1476	9	16	24	
1477	9	16	24	
1478	9	16	24	
1479	16	8	26	
1480	8	16	26	
1481	7	16	27	
1482	7	16	27	
1483	11	16	27	
1484	18	10	27	
1485	10	18	27	
1486	8	18	26	
1487	8	18	26	
1488	8	18	26	
1489	8	18	26	
1490	8	18	26	
1491	8	18	26	
1492	8	18	26	
1493	8	18	26	
1494	8	18	26	
1495	8	18	26	
